Species,Publication Author,LSID,Category of Use,Crop Wild Relative,Source
Aquarius horizontalis,(Rataj) Christenh. & Byng,77183523-1,Environmental Uses,False,
Aquarius macrophyllus,(Kunth) Christenh. & Byng,77183178-1,Environmental Uses; Medicines,False,Medicinal Plant Names Services (MPNS)
Aquarius paniculatus,(Micheli) Christenh. & Byng,77182731-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Aquarius uruguayensis,(Arechav.) Christenh. & Byng,77182561-1,Environmental Uses,False,
Burnatia enneandra,Micheli,58280-1,Human Food,False,Useful Plants of West Tropical Africa (UPWTA)
Butomopsis latifolia,(D.Don) Kunth,58284-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Caldesia parnassifolia,(Bassi) Parl.,58293-1,Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Useful Plants of West Tropical Africa (UPWTA)
Echinodorus berteroi,(Spreng.) Fassett,88149-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Helanthium bolivianum,(Rusby) Lehtonen & Myllys,77089409-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Helanthium tenellum,(Mart. ex Schult.f.) J.G.Sm.,118649-2,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Limnocharis flava,(L.) Buchenau,58404-1,Animal Food; Environmental Uses; Human Food,False,Germplasm Resources Information Network from USDA (GRIN); Plant Resources of South-East Asia (PROSEA)
Limnophyton angolense,Buchenau,58413-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Limnophyton obtusifolium,(L.) Miq.,58415-1,Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP); Useful Plants of West Tropical Africa (UPWTA)
Sagittaria cuneata,E.Sheld.,225232-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Sagittaria guayanensis,Kunth,58497-1,Environmental Uses; Gene Sources; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Sagittaria lancifolia,L.,58516-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Sagittaria latifolia,Willd.,225280-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Sagittaria macrophylla,Zucc.,58524-1,Human Food,False,Germplasm Resources Information Network from USDA (GRIN)
Sagittaria montevidensis,Cham. & Schltdl.,58531-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Sagittaria pygmaea,Miq.,58559-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Sagittaria rhombifolia,Cham.,58564-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Sagittaria sagittifolia,L.,30074004-2,Animal Food; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Sagittaria trifolia,L.,58596-1,Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Aponogeton crispus,Thunb.,602844-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Aponogeton desertorum,Zeyh. ex Spreng.,82943-1,Environmental Uses; Human Food,False,Germplasm Resources Information Network from USDA (GRIN); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Aponogeton distachyos,L.f.,60445154-2,Environmental Uses; Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Aponogeton madagascariensis,(Mirb.) H.Bruggen,82957-1,Environmental Uses; Human Food,False,Germplasm Resources Information Network from USDA (GRIN)
Aponogeton natans,(L.) Engl. & K.Krause,82958-1,Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Aponogeton rehmannii,Oliv.,602876-1,Animal Food; Human Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Aponogeton subconjugatus,Schumach. & Thonn.,82968-1,Human Food,False,Useful Plants of West Tropical Africa (UPWTA)
Aglaonema commutatum,Schott,84050-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Aglaonema costatum,N.E.Br.,84052-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Aglaonema modestum,Schott ex Engl.,84081-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Aglaonema nitidum,(Jack) Kunth,84086-1,Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Aglaonema pictum,(Roxb.) Kunth,84094-1,Environmental Uses; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Aglaonema robeleynii,(Van Geert) Pitcher & Manda,77177136-1,Environmental Uses,False,
Aglaonema simplex,(Blume) Blume,84107-1,Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Alocasia aequiloba,N.E.Br.,84122-1,Invertebrate Food; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Alocasia alba,Schott,84123-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Alocasia atropurpurea,Engl.,84129-1,Gene Sources,False,Germplasm Resources Information Network from USDA (GRIN)
Alocasia beccarii,Engl.,84134-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Alocasia brancifolia,(Schott) A.Hay,962406-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Alocasia brisbanensis,(F.M.Bailey) Domin,84136-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Alocasia cucullata,(Lour.) G.Don,84151-1,Environmental Uses; Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Alocasia cuprea,K.Koch,84153-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Alocasia fornicata,(Kunth) Schott,84168-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Alocasia hollrungii,Engl.,84180-1,Animal Food; Human Food; Materials; Social Uses,False,Useful Plants of New Guinea
