Species,Publication Author,LSID,Category of Use,Crop Wild Relative,Source
Grewia holstii,Burret,834281-1,Materials,False,Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Grewia inaequilatera,Garcke,834294-1,Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Grewia laevigata,Vahl,834315-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Grewia lasiocarpa,E.Mey. ex Harv.,834326-1,Materials,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Grewia lasiodiscus,K.Schum.,834328-1,Gene Sources; Human Food; Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Grewia lavanalensis,Baill.,834336-1,Materials,False,Plant Resources for Tropical Africa (PROTA)
Grewia lilacina,K.Schum.,834343-1,Animal Food; Gene Sources; Human Food,False,Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Grewia louisii,R.Wilczek,834347-1,Fuels; Gene Sources; Human Food,False,Plant Resources for Tropical Africa (PROTA)
Grewia megalocarpa,Juss.,834362-1,Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Grewia micrantha,Bojer,834373-1,Gene Sources; Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Grewia microcarpa,K.Schum.,834374-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Grewia microcyclea,(Burret) Capuron & Mabb.,1012026-1,Human Food; Materials,False,Plant Resources for Tropical Africa (PROTA)
Grewia mollis,Juss.,332097-2,Animal Food; Fuels; Gene Sources; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP)
Grewia monticola,Sond.,834389-1,Animal Food; Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Social Uses,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Useful Plant Project (UPP)
Grewia multiflora,Juss.,834395-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Grewia occidentalis,L.,834417-1,Environmental Uses; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Grewia oppositifolia,Roxb. ex DC.,834427-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Grewia optiva,J.R.Drumm. ex Burret,834428-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Grewia orientalis,L.,834435-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Grewia pachycalyx,K.Schum.,834444-1,Animal Food; Human Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Grewia penicillata,Chiov.,834461-1,Gene Sources; Human Food,False,Plant Resources for Tropical Africa (PROTA)
Grewia picta,Baill.,834470-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Grewia plagiophylla,K.Schum.,834477-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Grewia polygama,Roxb.,834481-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Grewia praecox,K.Schum.,834488-1,Gene Sources; Human Food,False,Plant Resources for Tropical Africa (PROTA)
Grewia prunifolia,A.Gray,834489-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS)
Grewia pubescens,P.Beauv.,834490-1,Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Grewia retinervis,Burret,834501-1,Animal Food; Environmental Uses; Fuels; Gene Sources; Human Food; Invertebrate Food; Materials; Medicines; Social Uses,False,
Grewia retusifolia,Kurz,834503-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Grewia rhomboides,Bojer,834506-1,Gene Sources; Human Food; Materials,False,Plant Resources for Tropical Africa (PROTA)
Grewia robusta,Burch.,834516-1,Animal Food; Environmental Uses; Human Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Grewia rolfei,Merr.,834518-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Grewia rothii,DC.,834519-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Grewia rugosifolia,De Wild.,834528-1,Gene Sources; Human Food,False,Plant Resources for Tropical Africa (PROTA)
Grewia sahafariensis,Capuron & Mabb.,1012023-1,Materials,False,Plant Resources for Tropical Africa (PROTA)
Grewia salutaris,Span.,834534-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Grewia sapida,Roxb. ex DC.,834540-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Grewia schmitzii,R.Wilczek,834550-1,Gene Sources; Human Food,False,Plant Resources for Tropical Africa (PROTA)
Grewia sclerophylla,Roxb. ex G.Don,834554-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Grewia sely,R.Vig.,834555-1,Materials,False,Plant Resources for Tropical Africa (PROTA)
Grewia serrulata,DC.,834562-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Grewia similis,K.Schum.,834566-1,Animal Food; Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Grewia speciosa,Burret,834568-1,Materials,False,Plant Resources for Tropical Africa (PROTA)
Grewia stolzii,Ulbr.,834570-1,Gene Sources; Human Food,False,Plant Resources for Tropical Africa (PROTA)
Grewia subaequalis,Baill.,834573-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Grewia subspathulata,N.E.Br.,834578-1,Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Grewia sulcata,Mast.,834581-1,Animal Food; Gene Sources; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Grewia tembensis,Fresen.,834588-1,Animal Food; Environmental Uses; Fuels; Gene Sources; Human Food; Materials; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Grewia tenax,(Forssk.) Fiori,834590-1,Animal Food; Fuels; Gene Sources; Human Food; Invertebrate Food; Materials; Medicines; Poisons; Social Uses,False,
Grewia tiliifolia,Vahl,834597-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Grewia tomentosa,Juss.,834600-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Grewia trichocarpa,Hochst. ex A.Rich.,834602-1,Animal Food; Fuels; Gene Sources; Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Useful Plant Project (UPP)
Grewia triflora,(Bojer) Walp.,834603-1,Gene Sources; Human Food; Materials,False,Plant Resources for Tropical Africa (PROTA)
Grewia trinervata,Baker,834606-1,Materials,False,Plant Resources for Tropical Africa (PROTA)
Grewia velutina,(Forssk.) Lam.,834626-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Grewia villosa,Willd.,834635-1,Animal Food; Environmental Uses; Fuels; Gene Sources; Human Food; Materials; Medicines; Social Uses,False,
Grewia vitiensis,Turrill,834641-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Guazuma crinita,Mart.,823382-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Guazuma ulmifolia,Lam.,823393-1,Animal Food; Environmental Uses; Fuels; Gene Sources; Human Food; Invertebrate Food; Materials; Medicines; Social Uses,False,
Helicteres angustifolia,L.,823419-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Helicteres hirsuta,Lour.,823465-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Helicteres isora,L.,321222-2,Animal Food; Environmental Uses; Fuels; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Helicteres jamaicensis,Jacq.,823472-1,Medicines,False,Medicinal Plant Names Services (MPNS); Malaria and Fever in Latin America dataset
Helicteres lanceolata,A.DC.,823477-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Helicteres obtusa,Wall. ex Kurz,823496-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Helicteres plebeia,Kurz,823504-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Helicteres viscida,Blume,823534-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Heliocarpus americanus,L.,834663-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Heliocarpus appendiculatus,Turcz.,834664-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Heliocarpus attenuatus,S.Watson,119591-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Heliocarpus donnellsmithii,Rose,119600-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Heliocarpus occidentalis,Rose,119614-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Heliocarpus pallidus,Rose,119615-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Heliocarpus palmeri,S.Watson,119616-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Heliocarpus terebinthinaceus,(DC.) Hochr.,119626-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Herissantia crispa,(L.) Brizicky,120630-2,Environmental Uses; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plant Project (UPP)
Herissantia tiubae,(K.Schum.) Brizicky,120633-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Heritiera borneensis,(Merr.) Kosterm.,823550-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Heritiera elata,Ridl.,823557-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Heritiera fomes,Banks,823560-1,Human Food; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Heritiera javanica,(Blume) Kosterm.,823565-1,Materials,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Plant Resources of South-East Asia (PROSEA)
Heritiera littoralis,Aiton,823569-1,Fuels; Human Food; Materials; Medicines; Poisons; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources for Tropical Africa (PROTA)
Heritiera novoguineensis,Kosterm.,823576-1,Materials,False,Useful Plants of New Guinea
Heritiera ornithocephala,Kosterm.,823578-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Heritiera simplicifolia,(Mast.) Kosterm.,823587-1,Materials,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Plant Resources of South-East Asia (PROSEA)
Heritiera sumatrana,(Miq.) Kosterm.,823590-1,Materials,False,Germplasm Resources Information Network from USDA (GRIN); Plant Resources of South-East Asia (PROSEA)
Heritiera sylvatica,S.Vidal,823591-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Heritiera trifoliolata,(F.Muell.) Kosterm.,823594-1,Materials,False,Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Heritiera utilis,(Sprague) Sprague,823595-1,Animal Food; Environmental Uses; Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia althaeifolia,L.,823605-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia brachypetala,Harv.,823642-1,Animal Food; Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS)
Hermannia coccocarpa,(Eckl. & Zeyh.) Kuntze,823663-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia cuneifolia,Jacq.,823680-1,Animal Food; Environmental Uses; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Hermannia depressa,N.E.Br.,823688-1,Human Food; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Useful Plant Project (UPP)
Hermannia erodioides,(Burch. ex DC.) Kuntze,823716-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia filifolia,L.f.,823726-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia geniculata,Eckl. & Zeyh.,823738-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia gerrardi,Harv.,823739-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia glanduligera,K.Schum.,823744-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia guerkeana,K.Schum.,823758-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Hermannia hyssopifolia,L.,823779-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia incana,Cav.,823784-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia linearifolia,Harv.,823810-1,Animal Food; Environmental Uses; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Hermannia micrantha,Adamson,823834-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia modesta,(Ehrenb.) Mast.,823840-1,Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Hermannia multiflora,Jacq.,823850-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia paucifolia,Turcz.,823877-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia pulchella,L.f.,823901-1,Gene Sources; Invertebrate Food; Social Uses,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Hermannia quartiniana,A.Rich.,823906-1,Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Hermannia stricta,(E.Mey. ex Turcz.) Harv.,823954-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hermannia velutina,DC.,823984-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Hermannia veronicifolia,(Eckl. & Zeyh.) K.Schum.,823989-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Herrania camargoana,R.E.Schult.,120754-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Herrania mariae,(Mart.) Goudot,824025-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Herrania nitida,(Poepp.) R.E.Schult.,824026-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Herrania purpurea,(Pittier) R.E.Schult.,120768-2,Materials,False,Kew's Economic Botany Collection (EcBot)
Hibiscus acetosella,Welw. ex Hiern,559896-1,Environmental Uses; Gene Sources; Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Hibiscus aethiopicus,L.,559911-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus articulatus,Hochst. ex A.Rich.,559960-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Hibiscus bifurcatus,Cav.,560013-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus borneensis,Airy Shaw,560026-1,Materials,False,
Hibiscus boryanus,DC.,560027-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus caesius,Garcke,560049-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus calyphyllus,Cav.,560057-1,Environmental Uses; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Hibiscus campylosiphon,Turcz.,560062-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Hibiscus cannabinus,L.,560068-1,Animal Food; Environmental Uses; Fuels; Gene Sources; Human Food; Materials; Medicines; Social Uses,False,
Hibiscus columnaris,Cav.,560113-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus comoensis,A.Chev. ex Hutch. & Dalziel,560115-1,Materials,False,Plant Resources for Tropical Africa (PROTA)
Hibiscus congestiflorus,Hochr.,560119-1,Human Food; Materials,False,Plant Resources for Tropical Africa (PROTA)
Hibiscus coulteri,Harv. ex A.Gray,560138-1,Environmental Uses,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Hibiscus dalbertisii,F.Muell.,560163-1,Environmental Uses; Fuels; Invertebrate Food; Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Hibiscus decaspermus,Koord. & Valeton,560167-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Hibiscus diversifolius,Jacq.,30353469-2,Gene Sources; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Useful Plants of West Tropical Africa (UPWTA)
Hibiscus elatus,Sw.,121930-2,Environmental Uses; Materials,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Plant Resources of South-East Asia (PROSEA)
Hibiscus elliottiae,Harv.,560205-1,Social Uses,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Hibiscus ellipticifolius,Borss.Waalk.,560207-1,Materials,False,Useful Plants of New Guinea
Hibiscus ferrugineus,Cav.,560232-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus floccosus,Mast.,560254-1,Materials,False,Plant Resources of South-East Asia (PROSEA)
Hibiscus fragrans,Roxb.,560262-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Hibiscus fuscus,Garcke,560277-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Hibiscus hamabo,Siebold & Zucc.,560323-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Hibiscus heterophyllus,Vent.,560342-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Hibiscus hirtus,L.,560350-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus hispidissimus,Griff.,560352-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus indicus,(Burm.f.) Hochr.,560380-1,Environmental Uses; Materials,False,Plant Resources of South-East Asia (PROSEA)
Hibiscus lasiococcus,Baill.,560430-1,Environmental Uses; Materials,False,Plant Resources for Tropical Africa (PROTA)
Hibiscus liliiflorus,Cav.,560452-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus lobatus,(Murray) Kuntze,560458-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus ludwigii,Eckl. & Zeyh.,560469-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Hibiscus lunariifolius,Willd.,560470-1,Animal Food; Environmental Uses; Fuels; Human Food; Materials; Medicines; Social Uses,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Useful Plants of West Tropical Africa (UPWTA)
Hibiscus macrophyllus,Roxb. ex Hornem.,60458301-2,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Hibiscus malacospermus,(Turcz.) E.Mey. ex Harv.,560489-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus mastersianus,Hiern,560502-1,Animal Food; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Hibiscus mechowii,Garcke,560507-1,Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Hibiscus micranthus,L.f.,560520-1,Animal Food; Human Food; Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Useful Plants of West Tropical Africa (UPWTA)
Hibiscus microcarpus,Garcke,560522-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus moscheutos,L.,30181863-2,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Hibiscus mutabilis,L.,560549-1,Environmental Uses; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA); Malaria and Fever in Latin America dataset
Hibiscus nigricaulis,Baker f.,560561-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus noldeae,Baker f.,560564-1,Gene Sources; Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Hibiscus owariensis,P.Beauv.,560588-1,Materials,False,Plant Resources for Tropical Africa (PROTA)
Hibiscus palmatus,Forssk.,560597-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus panduriformis,Burm.f.,560603-1,Materials,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Hibiscus pedunculatus,L.f.,560620-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus pleijtei,Borss.Waalk.,560657-1,Environmental Uses; Fuels; Invertebrate Food; Materials; Social Uses,False,Useful Plants of New Guinea
Hibiscus praeteritus,R.A.Dyer,560675-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus pusillus,Thunb.,560712-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus radiatus,Cav.,560723-1,Environmental Uses; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Hibiscus rosa-sinensis,L.,560756-1,Animal Food; Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Social Uses,False,
Hibiscus rostellatus,Guill. & Perr.,560760-1,Human Food; Materials; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Hibiscus sabdariffa,L.,326388-2,Animal Food; Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Poisons; Social Uses,False,
Hibiscus schizopetalus,(Mast.) Hook.f.,560792-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Useful Plants of West Tropical Africa (UPWTA)
Hibiscus scotellii,Baker f.,560797-1,Materials,False,Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Hibiscus shirensis,Sprague & Hutch.,560817-1,Human Food; Materials,False,Kew's Economic Botany Collection (EcBot); Plant Resources for Tropical Africa (PROTA)
Hibiscus sinosyriacus,L.H.Bailey,560826-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Hibiscus spiralis,Cav.,328040-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus squamosus,Hochr.,560853-1,Materials,False,Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Hibiscus sterculiifolius,(Guill. & Perr.) Steud.,560857-1,Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Hibiscus striatus,Cav.,560861-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus surattensis,L.,560886-1,Animal Food; Environmental Uses; Gene Sources; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Useful Plants of West Tropical Africa (UPWTA)
Hibiscus syriacus,L.,560890-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Hibiscus talbotii,(Rakshit) T.K.Paul & M.P.Nayer,910749-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hibiscus tiliaceus,L.,30143354-2,Animal Food; Environmental Uses; Fuels; Gene Sources; Human Food; Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Hibiscus trionum,L.,122028-2,Environmental Uses; Human Food; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Hibiscus vitifolius,L.,560973-1,Gene Sources; Human Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Hildegardia barteri,(Mast.) Kosterm.,824035-1,Animal Food; Environmental Uses; Human Food; Materials,False,Kew's Economic Botany Collection (EcBot); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Hildegardia erythrosiphon,(Baill.) Kosterm.,824039-1,Materials,False,Plant Resources for Tropical Africa (PROTA)
Hildegardia populifolia,(DC.) Schott & Endl.,824045-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Hoheria glabrata,Sprague & Summerh.,561006-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Hoheria lyallii,Hook.f.,561007-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Hoheria populnea,A.Cunn.,561009-1,Environmental Uses; Materials,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN)
Horsfordia alata,(S.Watson) A.Gray,124120-2,Medicines,False,Medicinal Plant Names Services (MPNS)
