scientificname,dominant biome,dominant climatic moisture index,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction,Category of Use,Crop Wild Relative,native to,native range
berberis incerta,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (2) | dry sub-humid (3),,,,,,,,,,,,,,,,,,,,,,,Mexico,Central America
berberis johnstonii,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Shrub,,,,,,,,,,,,,,,,El Salvador|Guatemala|Mexico|Nicaragua,Central America
berberis julianae,subtropical (1),wet (2) | moist (3),,,,,,,Shrub,,2,FALSE,,,woody,,,,,,,,Environmental Uses; Medicines,False,China,Eastern Asia
berberis latifolia,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Tree/Treelet,,,,,,,,,,,,,,Medicines,False,Ecuador|Peru,South America
berberis laurina,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (1),,,,,,,,,,,,,,,,,,,,,,,Brazil|Uruguay,South America
berberis lehmannii,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Tree,,,,,,,,,,,,,,,,Colombia|Ecuador|Peru,South America
berberis lilloana,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),semi-arid (2) | arid (3),,,,,,,,,,,,,,,,,,,,,Medicines,False,Argentina,South America
berberis lobbiana,,,,,,,,,Shrub,,,,,,,,,,,,,,,,Ecuador|Peru,South America
berberis moranensis,tropical (min temp coldest month less than 18°C) (9),moist (9) | dry sub-humid (9),,,,,,,Shrub,,,,,,woody,,,,,,,,,,Mexico,Central America
berberis multiflora,tropical (min temp coldest month less than 18°C) (9) | subtropical (9) | temperate (9),moist (9),,,,,,,Tree,,,,,,,,,,,,,,,,Ecuador|Peru,South America
berberis nilghiriensis,,,,,,,,,,,,,,,,,,,,,,,,,India,Southern Asia
berberis petiolaris,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),moist (2) | dry sub-humid (3),,,,,,,,,,,,,,,,,,,,,Medicines,False,India|Nepal,Southern Asia
berberis polyantha,subtropical (2) | temperate (3),moist (9),,,,,,,,,,,,,W,,,,,,,,,,China,Eastern Asia
berberis tenuifolia,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Tree,,,,,,,,,,,,,,,,Mexico,Central America
berberis volcania,tropical (min temp coldest month less than 18°C) (9) | subtropical (9) | temperate (9),wet (9),,,,,,,Shrub,,,,,,,,,,,,,,,,Costa Rica|Guatemala|Mexico,Central America
berberis wallichiana,tropical (min temp coldest month less than 18°C) (9),wet (9) | moist (9),,,,,,,,,,,,,,,,,,,,,Medicines,False,Bhutan|India|Myanmar|Nepal,Southern Asia|South-eastern Asia
platanus gentryi,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (2) | semi-arid (3),,,,,,,,,,,,,,,,,,,,,,,Mexico,Central America
platanus kerrii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,tree,,,,Perennial,,W,,,,,,,,,,Lao People's Democratic Republic|Viet Nam,South-eastern Asia
platanus mexicana,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,Tree,,,,Perennial,,woody,,,,,,,,Materials,False,Mexico,Central America
platanus occidentalis,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),moist (9),,,,,,,Stem erect,,10,FALSE,250,,woody,,,,,,,,Environmental Uses; Materials; Medicines,False,Canada|Mexico|United States of America,Northern America|Central America
platanus orientalis,tropical (min temp coldest month less than 18°C) (9),moist (9) | dry sub-humid (9),,,,,,,Stem erect,,15,FALSE,perennials,,woody,,,,,,,,Environmental Uses; Materials; Medicines,False,Afghanistan|Albania|Azerbaijan|Bulgaria|China|Cyprus|Georgia|Greece|India|Iran (Islamic Republic of)|Iraq|Israel|Italy|Jordan|Lebanon|North Macedonia|Pakistan|State of Palestine|Syrian Arab Republic|Tajikistan|Türkiye,Southern Asia|Southern Europe|Western Asia|Eastern Europe|Eastern Asia|Central Asia
platanus racemosa,tropical (min temp coldest month less than 18°C) (9),semi-arid (9),,,,,,,tree,,,FALSE,,,W,,,,,,,,Materials; Medicines,False,Mexico|United States of America,Central America|Northern America
platanus rzedowskii,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (2) | semi-arid (3),,,,,,,,,,,,,,,,,,,,,,,Mexico,Central America
platanus wrightii,tropical (min temp coldest month less than 18°C) (9),dry sub-humid (2) | semi-arid (3),,,,,,,Tree,,,,,,woody,,,,,,,,Environmental Uses; Materials,False,Mexico|United States of America,Central America|Northern America
agastachys odorata,,,,,,,,,Shrub,,,,Perennial,,W,,,,,,,,Medicines,False,Australia,Australia and New Zealand
alloxylon brachycarpum,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,W,,,,,,,,Materials,False,Indonesia|Papua New Guinea,South-eastern Asia|Melanesia
alloxylon flammeum,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree/woody,,,,,,W,,,,,,,,Environmental Uses,False,Australia,Australia and New Zealand
alloxylon pinnatum,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (1),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
alloxylon wickhamii,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
athertonia diversifolia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
austromuellera trinervia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
austromuellera valida,,,,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
banksia aemula,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,tree,,,,>100,,woody,,,,Serotinous,,,,,,Australia,Australia and New Zealand
banksia anatona,,,,,,,,,,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
banksia aquilonia,,,,,,,,,Free-standing,,,,,,W,,,,Non-serotinous,,,,,,Australia,Australia and New Zealand
banksia arborea,,,,,,,,,,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
banksia ashbyi,tropical (min temp coldest month 18°C or higher) (1),semi-arid (2) | arid (3),,,,,,,woody,,,,,,W,,,,Serotinous,,,,,,Australia,Australia and New Zealand
banksia borealis,,,,,,,,,,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
banksia brownii,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,Free-standing,,,,,,W,,,,Serotinous,,,,,,Australia,Australia and New Zealand
banksia cuneata,tropical (min temp coldest month 18°C or higher) (1),semi-arid (1),,,,,,,woody,,,,,,W,,,,Serotinous,,,,,,Australia,Australia and New Zealand
banksia dentata,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,shrub/tree/woody,,,,,,W,,,,Non-serotinous,,,,Environmental Uses; Fuels; Materials; Social Uses,False,Australia|Indonesia|Papua New Guinea,Australia and New Zealand|South-eastern Asia|Melanesia
banksia grandis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,Tree,,,,,,W,,,,Non-Serotinous,,,,Environmental Uses; Materials; Medicines,False,Australia,Australia and New Zealand
banksia ilicifolia,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Tree,,,,,,W,,,,Serotinous,,,diffuse-porous,,,Australia,Australia and New Zealand
banksia integrifolia,tropical (min temp coldest month less than 18°C) (9),moist (9),,,,,,,shrub,,,,perennial,,W,,,,,,,,Environmental Uses; Gene Sources; Materials,False,Australia|Norfolk Island,Australia and New Zealand
banksia littoralis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,Shrub,,,,,,W,,,,Non-serotinous,,,diffuse-porous,Medicines,False,Australia,Australia and New Zealand
banksia marginata,tropical (min temp coldest month less than 18°C) (9),moist (9) | dry sub-humid (9),,,,,,,tree / shrub,,,,>30,,w,,,,Serotinous,,,,Environmental Uses; Gene Sources; Materials,False,Australia,Australia and New Zealand
banksia media,tropical (min temp coldest month 18°C or higher) (1),semi-arid (1),,,,,,,woody,,,,,,W,,,,Serotinous,,,,,,Australia,Australia and New Zealand
banksia menziesii,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (2) | semi-arid (3),,,,,,,shrub,,,,,,woody,,,,Serotinous,,,diffuse-porous,Environmental Uses; Medicines,False,Australia,Australia and New Zealand
banksia neoanglica,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
banksia occidentalis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,woody,,,,,,W,,,,Serotinous,,,,Environmental Uses; Medicines,False,Australia,Australia and New Zealand
banksia prionotes,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (2) | semi-arid (3),,,,,,,woody,,,,15,,W,,,,Serotinous,,,,Environmental Uses; Medicines,False,Australia,Australia and New Zealand
banksia seminuda,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Free-standing,,,,,,W,,,,Non-serotinous,,,,,,Australia,Australia and New Zealand
banksia serrata,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9),,,,,,,tree / shrub,,,,100,,woody,,,,Serotinous,,,,Materials,False,Australia,Australia and New Zealand
banksia spinulosa,tropical (min temp coldest month less than 18°C) (9),wet (2) | moist (3),,,,,,,shrub,,,,,,woody,,,,,,,,Materials,False,Australia,Australia and New Zealand
banksia tricuspis,tropical (min temp coldest month 18°C or higher) (1),semi-arid (1),,,,,,,shrub/tree,,,,,,W,,,,Serotinous,,,,,,Australia,Australia and New Zealand
banksia verticillata,,,,,,,,,woody,,,,,,W,,,,Non-serotinous,,,,Materials,False,Australia,Australia and New Zealand
beauprea asplenioides,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,W,,,,,,,,,,New Caledonia,Melanesia
beauprea balansae,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,New Caledonia,Melanesia
beauprea comptonii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,New Caledonia,Melanesia
beauprea filipes,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,New Caledonia,Melanesia
beauprea spathulifolia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,New Caledonia,Melanesia
bleasdalea bleasdalei,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
bleasdalea papuana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Indonesia|Papua New Guinea,South-eastern Asia|Melanesia
brabejum stellatifolium,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,tree,,,,,,woody,,,,,,,diffuse-porous,Human Food; Materials,False,South Africa,Southern Africa
buckinghamia celsissima,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (9),,,,,,,woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
buckinghamia ferruginiflora,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
cardwellia sublimis,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,,,woody,,,,,,,,Materials; Medicines,False,Australia,Australia and New Zealand
carnarvonia araliifolia,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
catalepidia heyana,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
cenarrhenes nitida,,,,,,,,,shrub/tree,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
conospermum triplinervium,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Shrub,,,,,,Woody,,,,,,,,,,Australia,Australia and New Zealand
darlingia darlingiana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,woody,,,,,,W,,,,,,,,Medicines,False,Australia,Australia and New Zealand
darlingia ferruginea,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,woody,,,,,,W,,,,,,,,Medicines,False,Australia,Australia and New Zealand
dilobeia tenuinervis,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Madagascar,Eastern Africa
dilobeia thouarsii,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,Perennial,,W,,,,,,,,Human Food,False,Madagascar,Eastern Africa
eidothea hardeniana,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,tree,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
eidothea zoexylocarya,,,,,,,,,woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
embothrium coccineum,subtropical (9) | temperate (9),wet (9),,,,,,,tree,,,,,,woody,,,,93,,,ring,Environmental Uses; Medicines,False,Argentina|Chile,South America
euplassa bahiensis,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
euplassa cantareirae,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,W,,,,,,,,Materials,False,Brazil,South America
euplassa chimantensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Venezuela (Bolivarian Republic of),South America
euplassa duquei,tropical (min temp coldest month less than 18°C) (9) | subtropical (9) | temperate (9),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Colombia,South America
euplassa glaziovii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil|Venezuela (Bolivarian Republic of),South America
euplassa hoehnei,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
euplassa inaequalis,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|Peru,South America
euplassa incana,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil,South America
euplassa isernii,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,Peru,South America
euplassa itatiaiae,tropical (min temp coldest month less than 18°C) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
euplassa legalis,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
euplassa madeirae,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil|Colombia,South America
euplassa nebularis,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
euplassa occidentalis,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree,,,,,,woody,,,,,,,,,,Ecuador,South America
euplassa organensis,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
euplassa pinnata,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,Medicines,False,Brazil|French Guiana,South America
