scientificname,dominant biome,dominant climatic moisture index,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction,Category of Use,Crop Wild Relative,native to,native range
stephanostegia hildebrandtii,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Madagascar,Eastern Africa
mandevilla subcarnosa,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Liana,,,,,,,,,,,,,,,,Brazil|Colombia|Guyana|Venezuela (Bolivarian Republic of),South America
adenium boehmianum,,,,,,,,,Free-standing,,,,,,,,,,,,,,Animal Food; Environmental Uses; Human Food; Medicines; Poisons; Social Uses,False,Angola|Namibia,Middle Africa|Southern Africa
adenium multiflorum,,,,,,,,,shrub,,,,,,woody,,,,,,,,Animal Food; Environmental Uses; Human Food; Medicines; Poisons,False,Eswatini|Malawi|Mozambique|South Africa|Zambia|Zimbabwe,Southern Africa|Eastern Africa
adenium obesum,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9) | semi-arid (9),,,,,,,No,,,,,,W,,,,,,,,Animal Food; Environmental Uses; Fuels; Human Food; Materials; Medicines; Poisons; Social Uses,False,Benin|Burundi|Cameroon|Chad|Côte dIvoire|Ethiopia|Ghana|Guinea|Guinea-Bissau|Kenya|Mali|Mauritania|Niger|Nigeria|Oman|Saudi Arabia|Senegal|Somalia|South Sudan|Sudan|Togo|Uganda|United Republic of Tanzania|Yemen,Western Africa|Eastern Africa|Middle Africa|Western Asia|Northern Africa
strophanthus boivinii,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Free-standing,,,,,,W,,,,,,,,Environmental Uses; Medicines; Poisons,False,Madagascar,Eastern Africa
strophanthus eminii,,,,,,,,,climber,,,,,,W,,,,,,,,Medicines; Poisons,False,Democratic Republic of the Congo|United Republic of Tanzania|Zambia,Middle Africa|Eastern Africa
strophanthus speciosus,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,climber,,,,,,woody,,,,,,,,Environmental Uses; Medicines; Poisons,False,Eswatini|South Africa,Southern Africa
strophanthus welwitschii,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,climber,,,,,,woody,,,,,,,,Medicines; Poisons,False,Angola|Democratic Republic of the Congo|United Republic of Tanzania|Zambia,Middle Africa|Eastern Africa
cryptolepis arbuscula,tropical (min temp coldest month 18°C or higher) (1),arid (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Yemen,Western Asia
cryptolepis macrophylla,tropical (min temp coldest month 18°C or higher) (1),arid (2) | hyper-arid (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Yemen,Western Asia
periploca aphylla,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9) | semi-arid (9) | arid (9),,,,,,,Free-standing,,,,,,W,,,,,,,,Animal Food; Human Food; Materials; Medicines,False,Afghanistan|Egypt|India|Iran (Islamic Republic of)|Iraq|Israel|Jordan|Oman|Pakistan|Saudi Arabia|State of Palestine|Sudan|United Arab Emirates|Yemen,Southern Asia|Northern Africa|Western Asia
allamanda weberbaueri,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Shrub,,,,,,,,,,,,,,,,Peru,South America
himatanthus articulatus,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,W,,,,,,,,Materials; Medicines,False,Bolivia (Plurinational State of)|Brazil|Colombia|Ecuador|French Guiana|Guyana|Panama|Peru|Suriname|Venezuela (Bolivarian Republic of),South America|Central America
himatanthus attenuatus,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,W,,,,,,,,,,Brazil|Colombia|Venezuela (Bolivarian Republic of),South America
himatanthus bracteatus,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,Tree,,,,,,W,,,,,,,,,,Brazil,South America
himatanthus drasticus,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
himatanthus obovatus,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,trees,,,,,,W,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|Guyana,South America
himatanthus phagedaenicus,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Tree,,,,,,,,,,,,,,Medicines,False,Brazil|Venezuela (Bolivarian Republic of),South America
himatanthus revolutus,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Brazil|Colombia|Guyana|Suriname,South America
himatanthus semilunatus,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,trees,,,,,,,,,,,,,,,,Brazil|Colombia|Venezuela (Bolivarian Republic of),South America
himatanthus tarapotensis,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,trees,,,,,,,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|Colombia|Ecuador|Peru,South America
mortoniella pittieri,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,Belize|Costa Rica|Nicaragua,Central America
plumeria alba,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),blanco,,,,,,Tree,,,,,,W,,,,,,,,Environmental Uses; Materials; Medicines; Poisons,False,"Anguilla|Antigua and Barbuda|Barbados|Bonaire, Sint Eustatius and Saba|British Virgin Islands|Dominica|Grenada|Guadeloupe|Martinique|Puerto Rico|Saint Barthélemy|Saint Lucia|Saint Martin (French Part)|Saint Vincent and the Grenadines|United States Virgin Islands",Caribbean
plumeria clusioides,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,Caribbean
plumeria filifolia,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Cuba,Caribbean
plumeria inodora,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Tree,,,,,,W,,,,,,,,Medicines,False,Colombia|Guyana|Venezuela (Bolivarian Republic of),South America
plumeria krugii,,,,,,,,,T,,,,,,W,,,,,,,,,,Puerto Rico,Caribbean
plumeria lanata,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,Caribbean
plumeria magna,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Dominican Republic,Caribbean
plumeria montana,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,Caribbean
plumeria obtusa,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Tree,,,,,,woody,,,,,,,,Environmental Uses; Materials; Medicines,False,Bahamas|Belize|Cayman Islands|Cuba|Dominican Republic|Guatemala|Haiti|Honduras|Jamaica|Mexico|Puerto Rico|Turks and Caicos Islands|United States of America,Caribbean|Central America|Northern America
plumeria pudica,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Tree,,,,,,,,,,,,,,,,Colombia|Panama|Venezuela (Bolivarian Republic of),South America|Central America
plumeria rubra,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,tree / shrub,,,,,,W,,,,,,,diffuse,Animal Food; Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Poisons; Social Uses,False,Belize|Costa Rica|El Salvador|Guatemala|Honduras|Mexico|Nicaragua|Panama|Venezuela (Bolivarian Republic of),Central America|South America
plumeria subsessilis,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Tree,,,,,,,,,,,,,,,,Dominican Republic|Haiti,Caribbean
plumeria tuberculata,,,,,,,,,trees,,,,,,,,,,,,,,,,Bahamas|Dominican Republic|Haiti,Caribbean
cameraria angustifolia,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Dominican Republic,Caribbean
cameraria latifolia,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Shrub,,,,,,W,,,,,,,,Materials; Medicines; Poisons,False,Belize|Cuba|Dominican Republic|Guatemala|Haiti|Jamaica|Mexico,Central America|Caribbean
cameraria linearifolia,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (2) | semi-arid (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Dominican Republic|Haiti,Caribbean
cameraria microphylla,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,Cuba,Caribbean
cameraria orientensis,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,Cuba,Caribbean
cameraria retusa,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,,
cascabela gaumeri,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Tree/Treelet,,,,,,,,,,,,,,Medicines,False,Belize|Costa Rica|Guatemala|Honduras|Mexico|Nicaragua,Central America
cascabela ovata,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Shrub,,,,,,,,,,,,,diffuse,Medicines,False,Costa Rica|El Salvador|Guatemala|Honduras|Mexico|Nicaragua,Central America
cascabela pinifolia,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,,,Mexico,Central America
cascabela thevetia,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,No,,,,,,W,,,,,,,,Animal Food; Environmental Uses; Fuels; Human Food; Materials; Medicines; Poisons; Social Uses,False,Belize|Bolivia (Plurinational State of)|Brazil|Colombia|Costa Rica|Ecuador|El Salvador|French Guiana|Guatemala|Guyana|Honduras|Mexico|Nicaragua|Panama|Paraguay|Peru|Suriname|Venezuela (Bolivarian Republic of),Central America|South America
cascabela thevetioides,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Tree,,,,,,W,,,,,,,,Environmental Uses; Medicines,False,Mexico,Central America
cerbera dumicola,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (2) | semi-arid (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
cerbera floribunda,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,Animal Food; Environmental Uses; Fuels; Materials; Medicines; Poisons; Social Uses,False,Australia|Indonesia|Palau|Papua New Guinea|Solomon Islands,Australia and New Zealand|South-eastern Asia|Micronesia|Melanesia
cerbera inflata,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree/woody,,,,,,W,,,,,,,,,,Australia|Papua New Guinea,Australia and New Zealand|Melanesia
cerbera laeta,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
cerbera manghas,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,tree,,,,Perennial,,woody,,,,,,,,Animal Food; Environmental Uses; Fuels; Human Food; Materials; Medicines; Poisons; Social Uses,False,"American Samoa|Australia|Bangladesh|Cambodia|China|China, Hong Kong Special Administrative Region|Christmas Island|Comoros|Cook Islands|Disputed Territory|Fiji|India|Indonesia|Japan|Kiribati|Lao People's Democratic Republic|Madagascar|Malaysia|Marshall Islands|Mauritius|Micronesia (Federated States of)|Myanmar|Nauru|New Caledonia|Palau|Papua New Guinea|Philippines|Pitcairn|Samoa|Seychelles|Singapore|Solomon Islands|Sri Lanka|Taiwan, Province of China|Thailand|Timor-Leste|Tonga|United Republic of Tanzania|Vanuatu|Viet Nam|Wallis and Futuna Islands",Polynesia|Australia and New Zealand|Southern Asia|South-eastern Asia|Eastern Asia|Eastern Africa|Melanesia|Micronesia
cerbera odollam,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree/woody,,,,,,W,,,,,,,,Environmental Uses; Fuels; Materials; Medicines; Poisons; Social Uses,False,Australia|Bangladesh|Brunei Darussalam|Cambodia|French Polynesia|Guam|India|Indonesia|Malaysia|Micronesia (Federated States of)|Myanmar|New Caledonia|Northern Mariana Islands|Philippines|Samoa|Singapore|Sri Lanka|Thailand|Tonga|Vanuatu|Viet Nam,Australia and New Zealand|Southern Asia|South-eastern Asia|Polynesia|Micronesia|Melanesia
cerberiopsis candelabra,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,T,,,,,,W,,,,,,,diffuse,,,New Caledonia,Melanesia
cerberiopsis neriifolia,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,New Caledonia,Melanesia
cerberiopsis obtusifolia,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,W,,,,,,,,,,New Caledonia,Melanesia
thevetia ahouai,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,shrub,,,,,,woody,,,,,,,,Medicines,False,Belize|Colombia|Costa Rica|El Salvador|Guatemala|Honduras|Mexico|Nicaragua|Panama|Venezuela (Bolivarian Republic of),Central America|South America
secamone nervosa,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
ambelania acida,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,,,woody,,,,,,,,Human Food; Materials,False,Brazil|French Guiana|Guyana|Suriname|Venezuela (Bolivarian Republic of),South America
ambelania duckei,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil,South America
ambelania occidentalis,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,,,woody,,,,,,,,,,Brazil|Colombia|Peru,South America
macoubea guianensis,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree,,,,,,woody,,,,,,,,Materials; Medicines,False,Brazil|Colombia|French Guiana|Guyana|Peru|Suriname|Venezuela (Bolivarian Republic of),South America
macoubea mesoamericana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Costa Rica|Panama,Central America
macoubea sprucei,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,Medicines,False,Brazil|Colombia|Costa Rica|Panama|Peru|Venezuela (Bolivarian Republic of),South America|Central America
molongum laxum,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,W,,,,,,,,,,Brazil|Colombia|Venezuela (Bolivarian Republic of),South America
molongum lucidum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,trees,,,,,,,,,,,,,,,,Brazil|Colombia|Venezuela (Bolivarian Republic of),South America
molongum zschokkeiforme,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
mucoa duckei,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,woody,,,,,,,,Medicines,False,Brazil|Colombia|Venezuela (Bolivarian Republic of),South America
mucoa pantchenkoana,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|Venezuela (Bolivarian Republic of),South America
neocouma parviflora,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|Venezuela (Bolivarian Republic of),South America
neocouma ternstroemiacea,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|Colombia|Peru|Venezuela (Bolivarian Republic of),South America
rhigospira quadrangularis,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|Colombia|Peru|Venezuela (Bolivarian Republic of),South America
spongiosperma cataractarum,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Venezuela (Bolivarian Republic of),South America
spongiosperma grandiflorum,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil,South America
spongiosperma longilobum,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,Medicines,False,Brazil,South America
spongiosperma macrophyllum,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,trees,,,,,,,,,,,,,,Medicines,False,Brazil|Colombia|Venezuela (Bolivarian Republic of),South America
spongiosperma riparium,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,Colombia|Venezuela (Bolivarian Republic of),South America
carvalhoa campanulata,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,shrub,,,,,,W,,,,,,,,,,Kenya|Malawi|Mozambique|Zambia,Eastern Africa
crioceras dipladeniiflorus,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,Medicines,False,Angola|Congo|Gabon,Middle Africa
ephippiocarpa orientalis,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (2) | semi-arid (3),,,,,,,Shrub,,,,,,,,,,,,,,,,Mozambique|South Africa|United Republic of Tanzania,Eastern Africa|Southern Africa
schizozygia coffaeoides,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,shrub,,,,,,W,,,,,,,,,,Angola|Comoros|Democratic Republic of the Congo|Kenya|Malawi|Mayotte|Somalia|United Republic of Tanzania,Middle Africa|Eastern Africa
tabernaemontana africana,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,Materials; Medicines,False,Côte dIvoire|Gambia|Ghana|Guinea|Guinea-Bissau|Liberia|Senegal|Sierra Leone,Western Africa
tabernaemontana alba,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,Tree,,,,,,W,,,,,,,,Medicines,False,Belize|Colombia|Costa Rica|Cuba|Guatemala|Honduras|Mexico|Nicaragua|Panama,Central America|South America|Caribbean
tabernaemontana allenii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Panama,Central America
tabernaemontana alternifolia,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,Free-standing,,,,,,,,,,,,,,Materials; Medicines,False,India,Southern Asia
tabernaemontana amplifolia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Colombia|Ecuador,South America
tabernaemontana amygdalifolia,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,Tree,,,,,,,,,,,,,,Medicines,False,Belize|Bolivia (Plurinational State of)|Colombia|Costa Rica|Cuba|Ecuador|El Salvador|Guatemala|Haiti|Honduras|Mexico|Nicaragua|Panama|Peru|Venezuela (Bolivarian Republic of),Central America|South America|Caribbean
tabernaemontana angulata,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,woody,,,,,,,,Medicines,False,Brazil,South America
tabernaemontana antheonycta,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Brunei Darussalam|Malaysia,South-eastern Asia
tabernaemontana apoda,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,Caribbean
tabernaemontana arborea,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree,,,,,,woody,,,,,,,,Materials,False,Belize|Colombia|Costa Rica|Guatemala|Honduras|Mexico|Nicaragua|Panama,Central America|South America
tabernaemontana attenuata,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,woody,,,,,,W,,,,,,,,Materials,False,French Guiana|Guyana|Suriname|Trinidad and Tobago|Venezuela (Bolivarian Republic of),South America|Caribbean
tabernaemontana aurantiaca,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Materials; Medicines; Social Uses,False,Indonesia|Palau|Papua New Guinea|Solomon Islands|Vanuatu,South-eastern Asia|Micronesia|Melanesia
tabernaemontana bovina,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,China|Thailand|Viet Nam,Eastern Asia|South-eastern Asia
tabernaemontana brachyantha,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,,,,,,,,,,,,,,,Materials; Medicines,False,Cameroon|Democratic Republic of the Congo|Equatorial Guinea|Gabon|Nigeria,Middle Africa|Western Africa
tabernaemontana brasiliensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
tabernaemontana bufalina,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Cambodia|China|Myanmar|Thailand|Viet Nam,South-eastern Asia|Eastern Asia
tabernaemontana calcarea,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
tabernaemontana capuronii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
tabernaemontana catharinensis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,Tree,,,,,,,,,,,,,,Environmental Uses; Materials; Medicines,False,Argentina|Bolivia (Plurinational State of)|Brazil|Paraguay|Uruguay,South America
tabernaemontana cerea,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Guyana|Suriname|Venezuela (Bolivarian Republic of),South America
tabernaemontana cerifera,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,Materials,False,New Caledonia,Melanesia
tabernaemontana ciliata,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Madagascar,Eastern Africa
tabernaemontana citrifolia,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,Tree,,,,,,,,,,,,,,Medicines,False,"Antigua and Barbuda|Bonaire, Sint Eustatius and Saba|Cuba|Dominica|Dominican Republic|Grenada|Guadeloupe|Haiti|Honduras|Martinique|Mexico|Montserrat|Saint Kitts and Nevis|Saint Lucia|Saint Martin (French Part)|Saint Vincent and the Grenadines|Trinidad and Tobago",Caribbean|Central America
tabernaemontana coffeoides,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,Free-standing,,,,,,W,,,,,,,,Fuels; Human Food; Materials; Medicines,False,Comoros|Madagascar|Mayotte|Seychelles,Eastern Africa
tabernaemontana columbiensis,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,,,,,,,,,,,Colombia|Ecuador|Panama|Peru,South America|Central America
tabernaemontana contorta,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,Materials,False,Cameroon,Middle Africa
tabernaemontana cordata,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
tabernaemontana coriacea,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|Peru,South America
tabernaemontana corymbosa,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (9),,,,,,,no,,,,perennial,,W,,,,,,,,Medicines; Poisons,False,Brunei Darussalam|China|Indonesia|Lao People's Democratic Republic|Malaysia|Myanmar|Singapore|Thailand|Viet Nam,South-eastern Asia|Eastern Asia
tabernaemontana crassa,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,woody,,,,,,,,Animal Food; Environmental Uses; Human Food; Materials; Medicines; Poisons,False,Angola|Cameroon|Central African Republic|Congo|Côte dIvoire|Democratic Republic of the Congo|Gabon|Ghana|Liberia|Nigeria|Sierra Leone,Middle Africa|Western Africa
tabernaemontana crassifolia,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
tabernaemontana cumata,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Brazil,South America
tabernaemontana cuspidata,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|Colombia|Peru,South America
tabernaemontana cymosa,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,tree,,,,,,woody,,,,,,,,Medicines,False,Bolivia (Plurinational State of)|Brazil|Colombia|Ecuador|Guyana|Peru|Venezuela (Bolivarian Republic of),South America
tabernaemontana debrayi,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
tabernaemontana dichotoma,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,Materials; Medicines; Poisons,False,Myanmar|Sri Lanka,South-eastern Asia|Southern Asia
tabernaemontana disticha,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Forbs,,,,,,,,,,,,,,,,Brazil|Colombia|French Guiana|Guyana|Suriname|Venezuela (Bolivarian Republic of),South America
tabernaemontana divaricata,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (9) | moist (9) | dry sub-humid (9),,,,,,,Shrub,,,,,,W,,,,,,,,,,Bangladesh|Bhutan|Cambodia|China|India|Lao People's Democratic Republic|Myanmar|Nepal|Sri Lanka|Thailand,Southern Asia|South-eastern Asia|Eastern Asia
tabernaemontana donnell-smithii,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,Free-standing,,,,,,,,,,,,,,Environmental Uses; Materials; Medicines,False,Belize|Costa Rica|El Salvador|Guatemala|Honduras|Mexico|Nicaragua|Panama,Central America
tabernaemontana elegans,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,shrub,,,,,,W,,,,,,,,Animal Food; Environmental Uses; Fuels; Gene Sources; Human Food; Materials; Medicines,False,Eswatini|Kenya|Malawi|Mozambique|Somalia|South Africa|United Republic of Tanzania|Zimbabwe,Southern Africa|Eastern Africa
tabernaemontana eubracteata,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,,,,,,,,,,,,,,,,,El Salvador|Guatemala|Honduras|Mexico,Central America
tabernaemontana eusepala,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
tabernaemontana eusepaloides,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
