species|n|Q05|Q95|A|C|D|E|F|A18
Acacia podalyriifolia|797|9.72|12|2|3|0|0|0|0
Acacia polifolia|85|11.05|12|2|3|0|0|0|0
Acacia polyadenia|10|12|12|1|0|0|0|0|0
Acacia polybotrya|415|9|12|2|3|0|0|0|0
Acacia polystachya|232|12|12|1|0|0|0|0|0
Acacia praelongata|93|12|12|1|0|0|0|0|0
Acacia prainii|320|11.07|12|2|3|0|0|0|0
Acacia pravissima|679|4.92|9.8|0|2|3|0|0|0
Acacia proiantha|15|12|12|1|0|0|0|0|0
Acacia prominens|396|8.84|12|2|3|0|0|0|0
Acacia pruinocarpa|398|12|12|1|0|0|0|0|0
Acacia pubescens|240|12|12|1|0|0|0|0|0
Acacia pubicosta|13|12|12|1|0|0|0|0|0
Acacia pubifolia|53|9|10.57|0|1|0|0|0|0
Acacia pubirhachis|61|12|12|1|0|0|0|0|0
Acacia pulchella|1087|11.05|12|2|3|0|0|0|0
Acacia pustula|119|11.05|12|2|3|0|0|0|0
Acacia pycnantha|10564|7.93|12|2|9|3|0|0|0
Acacia pycnostachya|36|9|9|0|1|0|0|0|0
Acacia pyrifolia|311|12|12|1|0|0|0|0|0
Acacia quadrimarginea|322|11.1|12|2|3|0|0|0|0
Acacia quiterajoensis|12|12|12|1|0|0|0|0|0
Acacia racospermoides|34|12|12|1|0|0|0|0|0
Acacia ramulosa|1804|10.2|12|2|3|0|0|0|0
Acacia redolens|179|10.19|12|2|3|0|0|0|0
Acacia resinimarginea|153|11|12|2|3|0|0|0|0
Acacia resinistipulea|34|11|12|2|3|0|0|0|0
Acacia retinervis|63|12|12|1|0|0|0|0|0
Acacia retinodes|1488|7.14|12|2|9|3|0|0|0
Acacia rhodophloia|370|12|12|1|0|0|0|0|0
Acacia rhodoxylon|82|12|12|1|0|0|0|0|0
Acacia riceana|357|3.32|7.92|0|0|2|3|0|0
Acacia rigens|2092|9.16|12|2|3|0|0|0|0
Acacia rivalis|401|9|12|2|3|0|0|0|0
Acacia rostellifera|348|12|12|1|0|0|0|0|0
Acacia rostriformis|91|8.06|10.88|0|1|0|0|0|0
Acacia rothii|143|12|12|1|0|0|0|0|0
Acacia roycei|38|12|12|1|0|0|0|0|0
Acacia rubida|1757|5.55|11|0|2|3|0|0|0
Acacia saliciformis|217|8.12|12|2|3|0|0|0|0
Acacia salicina|2300|9.21|12|2|3|0|0|0|0
Acacia saligna|3598|9.9|12|2|3|0|0|0|0
Acacia saxatilis|28|12|12|1|0|0|0|0|0
Acacia schinoides|290|8.65|12|2|3|0|0|0|0
Acacia sclerosperma|406|11.1|12|2|3|0|0|0|0
Acacia scopulorum|54|12|12|1|0|0|0|0|0
Acacia seclusa|1|12|12|1|0|0|0|0|0
Acacia semilunata|99|12|12|1|0|0|0|0|0
Acacia semirigida|63|12|12|1|0|0|0|0|0
Acacia sericata|34|12|12|1|0|0|0|0|0
Acacia sericoflora|73|12|12|1|0|0|0|0|0
