species,n,Q05,Q95,A,B,C,D,E,F,G,climatic moisture index
Melaleuca argentea,561,-0.82,-0.11,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Melaleuca armillaris,1225,-0.78,0.22,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca atroviridis,226,-0.82,-0.71,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca biconvexa,367,-0.06,0.22,0,2,3,0,0,0,0,wet (2) | moist (3)
Melaleuca boeophylla,5,-0.81,-0.81,0,0,0,0,0,1,0,arid (1)
Melaleuca bracteata,980,-0.82,-0.04,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Melaleuca brevifolia,1505,-0.73,-0.34,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca cajuputi,615,-0.54,0.24,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca cheelii,66,-0.3,-0.15,0,0,1,0,0,0,0,moist (1)
Melaleuca citrina,1647,-0.48,0.25,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Melaleuca citrolens,343,-0.65,-0.24,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca clarksonii,67,-0.45,-0.04,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Melaleuca croxfordiae,26,-0.33,0.1,0,2,3,0,0,0,0,wet (2) | moist (3)
Melaleuca cuticularis,274,-0.72,-0.06,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca dawsonii,17,0.19,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melaleuca dealbata,407,-0.56,0.28,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca decora,1107,-0.55,0.11,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca decussata,1267,-0.7,-0.1,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca dendroidea,22,-0.85,-0.79,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca eleuterostachya,578,-0.86,-0.74,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca ericifolia,3353,-0.38,0.26,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Melaleuca ferruginea,55,-0.58,-0.06,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca fluviatilis,322,-0.73,-0.01,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca foliolosa,169,-0.51,0.26,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca gibbosa,1139,-0.57,0.11,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca globifera,23,-0.52,-0.36,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Melaleuca glomerata,872,-0.92,-0.77,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca groveana,150,-0.57,0.28,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca halmaturorum,1010,-0.79,-0.34,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca hamata,673,-0.84,-0.66,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca hamulosa,134,-0.8,-0.51,0,0,0,0,1,0,0,semi-arid (1)
Melaleuca huegelii,125,-0.81,0.03,0,2,9,9,9,3,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (9) | arid (3)
Melaleuca hypericifolia,390,-0.39,0.3,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Melaleuca incana,214,-0.63,0.04,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca lanceolata,8328,-0.81,-0.37,0,0,0,2,9,3,0,dry sub-humid (2) | semi-arid (9) | arid (3)
Melaleuca lasiandra,360,-0.87,-0.72,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca lateriflora,418,-0.82,-0.67,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca leucadendra,1368,-0.65,0.28,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca linariifolia,2288,-0.36,0.21,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Melaleuca longistaminea,51,-0.81,-0.68,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca minutifolia,302,-0.69,-0.4,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Melaleuca nanophylla,28,-0.89,-0.87,0,0,0,0,0,1,0,arid (1)
Melaleuca nervosa,1601,-0.74,0.05,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca nodosa,2058,-0.42,0.21,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Melaleuca pancheri,8,0.22,0.35,0,1,0,0,0,0,0,wet (1)
Melaleuca parvistaminea,463,-0.53,-0.1,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca pauperiflora,1217,-0.82,-0.7,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca phoidophylla,52,-0.83,-0.72,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca preissiana,205,-0.64,-0.01,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca pustulata,217,-0.41,-0.21,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Melaleuca quinquenervia,2905,-0.25,0.29,0,2,3,0,0,0,0,wet (2) | moist (3)
Melaleuca rhaphiophylla,347,-0.76,-0.09,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca rupestris,65,-0.68,-0.1,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca saligna,257,-0.4,0.28,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Melaleuca sericea,97,-0.68,-0.53,0,0,0,0,1,0,0,semi-arid (1)
Melaleuca sheathiana,86,-0.85,-0.74,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca sieberi,1130,-0.36,0.23,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Melaleuca spectabilis,14,-0.71,-0.69,0,0,0,0,1,0,0,semi-arid (1)
Melaleuca squamophloia,58,-0.64,-0.51,0,0,0,0,1,0,0,semi-arid (1)
Melaleuca squarrosa,3874,-0.29,0.52,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melaleuca stenostachya,285,-0.6,0.26,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melaleuca stereophloia,162,-0.88,-0.76,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca stipitata,8,-0.41,-0.29,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Melaleuca strobophylla,113,-0.79,-0.59,0,0,0,0,1,0,0,semi-arid (1)
Melaleuca styphelioides,2215,-0.38,0.21,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Melaleuca subalaris,30,-0.81,-0.65,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca tamariscina,97,-0.71,-0.57,0,0,0,0,1,0,0,semi-arid (1)
Melaleuca teretifolia,80,-0.66,-0.3,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Melaleuca thyoides,163,-0.81,-0.62,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Melaleuca trichostachya,351,-0.85,-0.17,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Melaleuca uncinata,4511,-0.79,-0.51,0,0,0,0,1,0,0,semi-arid (1)
Melaleuca velutina,12,-0.62,-0.52,0,0,0,0,1,0,0,semi-arid (1)
Melaleuca viminalis,1399,-0.71,0.31,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
