species,n,Q05,Q95,A,B,C,D,E,F,G,climatic moisture index
Rinorea multivenosa,8,0.2,0.49,0,1,0,0,0,0,0,wet (1)
Rinorea neglecta,87,-0.09,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Rinorea oblongifolia,246,-0.24,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Rinorea ovalifolia,46,-0.34,0.34,0,2,3,0,0,0,0,wet (2) | moist (3)
Rinorea paniculata,257,-0.14,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rinorea pectinosquamata,17,0.22,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rinorea preussii,20,0.2,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rinorea pubiflora,465,0.0,0.53,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rinorea pugionifera,36,-0.25,0.2,0,2,3,0,0,0,0,wet (2) | moist (3)
Rinorea racemosa,231,0.25,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rinorea ramiziana,2,-0.08,-0.07,0,0,1,0,0,0,0,moist (1)
Rinorea riana,167,-0.12,0.43,0,2,3,0,0,0,0,wet (2) | moist (3)
Rinorea rubra,8,0.35,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rinorea rubrotincta,9,-0.32,0.63,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rinorea scheffleri,2,-0.22,0.01,0,2,3,0,0,0,0,wet (2) | moist (3)
Rinorea sclerocarpa,50,0.2,0.53,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rinorea scorpioidea,5,-0.36,0.49,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rinorea seleensis,2,-0.06,0.24,0,2,3,0,0,0,0,wet (2) | moist (3)
Rinorea silvatica,58,0.2,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rinorea sprucei,28,0.24,0.48,0,1,0,0,0,0,0,wet (1)
Rinorea squamata,235,0.27,0.58,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rinorea subsessilis,59,-0.03,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Rinorea thomensis,1,0.49,0.49,0,1,0,0,0,0,0,wet (1)
Rinorea tshingandaensis,5,-0.13,0.31,0,2,3,0,0,0,0,wet (2) | moist (3)
Rinorea ulmifolia,12,-0.02,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Rinorea urschii,33,-0.17,0.24,0,2,3,0,0,0,0,wet (2) | moist (3)
Rinorea vaupesana,10,0.1,0.51,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rinorea villosiflora,1,-0.13,-0.13,0,0,1,0,0,0,0,moist (1)
Rinorea viridifolia,305,-0.03,0.62,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rinorea welwitschii,243,-0.25,0.46,0,2,3,0,0,0,0,wet (2) | moist (3)
Rinorea zygomorpha,12,-0.03,0.62,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Riodocea pulcherrima,5,-0.19,0.17,0,2,3,0,0,0,0,wet (2) | moist (3)
Ristantia gouldii,14,-0.02,0.69,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Ristantia pachysperma,41,0.43,0.71,2,3,0,0,0,0,0,very wet (2) | wet (3)
Ristantia waterhousei,14,0.29,0.49,0,1,0,0,0,0,0,wet (1)
Ritchiea albersii,90,-0.35,0.36,0,2,3,0,0,0,0,wet (2) | moist (3)
Ritchiea aprevaliana,24,-0.08,0.15,0,2,3,0,0,0,0,wet (2) | moist (3)
Ritchiea capparoides,369,-0.41,-0.2,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Ritchiea quarrei,3,-0.37,-0.33,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Rivea hypocrateriformis,15,-0.68,0.56,2,9,9,9,3,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (9) | semi-arid (3)
Robbrechtia grandifolia,41,-0.16,0.41,0,2,3,0,0,0,0,wet (2) | moist (3)
Robinia hispida,463,-0.33,0.4,0,2,3,0,0,0,0,wet (2) | moist (3)
Robinia neomexicana,636,-0.74,-0.32,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Robinia pseudoacacia,86780,-0.38,0.32,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Robinia viscosa,88,-0.37,0.49,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Robinsonella brevituba,11,-0.4,0.58,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Robinsonella chiangii,17,-0.68,-0.59,0,0,0,0,1,0,0,semi-arid (1)
Robinsonella cordata,34,-0.66,-0.12,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Robinsonella densiflora,11,-0.23,0.35,0,2,3,0,0,0,0,wet (2) | moist (3)
Robinsonella glabrifolia,11,-0.38,0.56,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Robinsonella lindeniana,108,-0.44,0.45,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Robinsonella macvaughii,3,-0.43,-0.43,0,0,0,1,0,0,0,dry sub-humid (1)
Robinsonella mirandae,151,-0.17,0.57,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Robinsonella pleiopoda,1,0.05,0.05,0,1,0,0,0,0,0,wet (1)
Robinsonella samaricarpa,36,-0.18,0.6,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Robinsonella speciosa,41,-0.5,0.35,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Robsonodendron eucleiforme,2,-0.66,-0.57,0,0,0,0,1,0,0,semi-arid (1)
Robynsia glabrata,12,-0.34,0.18,0,2,3,0,0,0,0,wet (2) | moist (3)
Rochefortia acanthophora,19,-0.62,-0.1,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Rochefortia lundellii,114,-0.45,0.54,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Rochefortia spinosa,42,-0.54,0.49,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rockinghamia angustifolia,124,-0.07,0.69,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rockinghamia brevipes,45,0.26,0.78,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rogersonanthus arboreus,20,0.11,0.45,0,1,0,0,0,0,0,wet (1)
Rogersonanthus quelchii,11,0.18,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rogiera amoena,286,-0.28,0.6,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rogiera cordata,116,-0.33,0.47,0,2,3,0,0,0,0,wet (2) | moist (3)
Rogiera edwardsii,10,-0.41,0.68,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Rogiera ligustroides,46,-0.41,0.37,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rogiera nicaraguensis,20,-0.3,0.19,0,2,3,0,0,0,0,wet (2) | moist (3)
Rogiera standleyana,2,-0.33,-0.33,0,0,1,0,0,0,0,moist (1)
Rogiera stenosiphon,157,-0.36,0.49,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rojasianthe superba,23,-0.15,0.46,0,2,3,0,0,0,0,wet (2) | moist (3)
Roldana oaxacana,176,-0.65,0.29,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Romeroa verticillata,14,0.29,0.42,0,1,0,0,0,0,0,wet (1)
Ronabea latifolia,648,0.06,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rondeletia adamsii,1,0.23,0.23,0,1,0,0,0,0,0,wet (1)
Rondeletia aristeguietae,5,-0.4,0.06,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rondeletia barahonensis,5,-0.28,0.04,0,2,3,0,0,0,0,wet (2) | moist (3)
Rondeletia belizensis,18,0.09,0.65,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rondeletia berteroana,7,-0.54,0.19,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rondeletia brachyphylla,1,0.44,0.44,0,1,0,0,0,0,0,wet (1)
Rondeletia brauseana,1,-0.35,-0.35,0,0,1,0,0,0,0,moist (1)
Rondeletia carnea,3,-0.29,0.14,0,2,3,0,0,0,0,wet (2) | moist (3)
Rondeletia christii,10,-0.31,0.26,0,2,3,0,0,0,0,wet (2) | moist (3)
Rondeletia clarendonensis,1,0.23,0.23,0,1,0,0,0,0,0,wet (1)
Rondeletia conferta,9,-0.29,0.07,0,2,3,0,0,0,0,wet (2) | moist (3)
Rondeletia cumanensis,5,-0.51,-0.16,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Rondeletia exasperata,2,0.25,0.26,0,1,0,0,0,0,0,wet (1)
Rondeletia fuertesii,4,-0.69,0.15,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rondeletia glauca,2,0.32,0.36,0,1,0,0,0,0,0,wet (1)
Rondeletia hameliifolia,1,0.08,0.08,0,1,0,0,0,0,0,wet (1)
Rondeletia harrisii,2,0.09,0.17,0,1,0,0,0,0,0,wet (1)
Rondeletia heterochroa,1,0.02,0.02,0,1,0,0,0,0,0,wet (1)
Rondeletia hirta,1,0.33,0.33,0,1,0,0,0,0,0,wet (1)
Rondeletia inermis,37,-0.45,0.32,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rondeletia larensis,1,-0.22,-0.22,0,0,1,0,0,0,0,moist (1)
Rondeletia mollis,1,-0.28,-0.28,0,0,1,0,0,0,0,moist (1)
Rondeletia ochracea,34,-0.27,0.31,0,2,3,0,0,0,0,wet (2) | moist (3)
Rondeletia orinocensis,5,0.12,0.26,0,1,0,0,0,0,0,wet (1)
Rondeletia panamensis,18,0.31,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rondeletia parviflora,8,0.16,0.42,0,1,0,0,0,0,0,wet (1)
Rondeletia pilosa,4,-0.19,0.13,0,2,3,0,0,0,0,wet (2) | moist (3)
Rondeletia portlandensis,1,0.39,0.39,0,1,0,0,0,0,0,wet (1)
Rondeletia portoricensis,7,0.27,0.39,0,1,0,0,0,0,0,wet (1)
Rondeletia purdiei,38,-0.46,0.38,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rondeletia roynaefolia,1,-0.07,-0.07,0,0,1,0,0,0,0,moist (1)
Rondeletia venezuelensis,8,-0.33,-0.2,0,0,1,0,0,0,0,moist (1)
Roscheria melanochaetes,1,0.47,0.47,0,1,0,0,0,0,0,wet (1)
Rosenbergiodendron densiflorum,38,-0.29,0.33,0,2,3,0,0,0,0,wet (2) | moist (3)
Rosenbergiodendron formosum,127,-0.43,0.51,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Rosenbergiodendron longiflorum,115,-0.34,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rosenbergiodendron reflexum,8,0.07,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Roseodendron chryseum,38,-0.56,0.13,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Roseodendron donnell-smithii,109,-0.55,0.49,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rosselia bracteata,3,0.59,0.62,1,0,0,0,0,0,0,very wet (1)
Rotheca myricoides,410,-0.74,0.29,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rotheca sansibarensis,15,-0.34,0.18,0,2,3,0,0,0,0,wet (2) | moist (3)
Rotheca suffruticosa,20,-0.67,0.08,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rotheca wildii,6,-0.6,0.09,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rothmannia capensis,118,-0.69,-0.15,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Rothmannia ebamutensis,4,0.41,0.45,0,1,0,0,0,0,0,wet (1)
Rothmannia engleriana,118,-0.52,0.09,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rothmannia fischeri,108,-0.67,0.06,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rothmannia globosa,67,-0.53,0.09,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rothmannia hispida,148,-0.24,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rothmannia jollyana,4,-0.13,0.14,0,2,3,0,0,0,0,wet (2) | moist (3)
Rothmannia libisa,5,-0.12,0.38,0,2,3,0,0,0,0,wet (2) | moist (3)
Rothmannia longiflora,397,-0.39,0.29,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rothmannia lujae,42,-0.12,0.47,0,2,3,0,0,0,0,wet (2) | moist (3)
Rothmannia macrocarpa,29,-0.03,0.42,0,2,3,0,0,0,0,wet (2) | moist (3)
Rothmannia macrosiphon,34,-0.36,0.05,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rothmannia manganjae,29,-0.45,0.14,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rothmannia mayumbensis,7,-0.15,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Rothmannia munsae,52,-0.37,0.21,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rothmannia octomera,95,-0.15,0.49,0,2,3,0,0,0,0,wet (2) | moist (3)
Rothmannia ravae,32,-0.56,0.0,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rothmannia talbotii,68,-0.01,0.52,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rothmannia urcelliformis,263,-0.41,0.36,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rothmannia whitfieldii,253,-0.35,0.51,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Roucheria calophylla,86,0.28,0.49,0,1,0,0,0,0,0,wet (1)
Roucheria columbiana,159,0.09,0.53,2,3,0,0,0,0,0,very wet (2) | wet (3)
Roucheria laxiflora,68,-0.16,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Roucheria monsalveae,5,0.63,0.77,1,0,0,0,0,0,0,very wet (1)
Roucheria schomburgkii,26,0.04,0.57,2,3,0,0,0,0,0,very wet (2) | wet (3)
Roupala asplenioides,8,0.16,0.47,0,1,0,0,0,0,0,wet (1)
Roupala barnettiae,2,-0.13,0.06,0,2,3,0,0,0,0,wet (2) | moist (3)
Roupala brachybotrys,2,-0.31,0.1,0,2,3,0,0,0,0,wet (2) | moist (3)
Roupala caparoensis,6,-0.62,-0.25,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Roupala casota,7,0.38,0.57,2,3,0,0,0,0,0,very wet (2) | wet (3)
Roupala consimilis,18,-0.23,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Roupala cordifolia,11,-0.56,0.39,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Roupala dielsii,4,-0.03,0.32,0,2,3,0,0,0,0,wet (2) | moist (3)
Roupala ferruginea,10,-0.45,-0.09,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Roupala filiflora,7,-0.33,-0.1,0,0,1,0,0,0,0,moist (1)
Roupala glaberrima,114,0.07,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Roupala gracilis,4,-0.2,-0.01,0,0,1,0,0,0,0,moist (1)
Roupala longepetiolata,3,-0.18,0.32,0,2,3,0,0,0,0,wet (2) | moist (3)
Roupala meisneri,17,-0.54,0.42,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Roupala mexicana,4,0.38,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
Roupala monosperma,106,-0.46,0.53,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Roupala montana,1368,-0.44,0.48,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Roupala nitida,16,0.15,0.44,0,1,0,0,0,0,0,wet (1)
Roupala obtusata,48,-0.09,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Roupala pachypoda,54,-0.53,0.43,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Roupala pallida,3,0.23,0.25,0,1,0,0,0,0,0,wet (1)
Roupala paulensis,33,-0.68,0.47,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Roupala percoriacea,8,0.22,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Roupala plinervia,6,-0.24,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Roupala pseudocordata,20,-0.31,0.47,0,2,3,0,0,0,0,wet (2) | moist (3)
Roupala psilocarpa,2,0.11,0.13,0,1,0,0,0,0,0,wet (1)
Roupala sculpta,6,-0.49,0.15,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Roupala sessiliflora,2,0.59,0.6,1,0,0,0,0,0,0,very wet (1)
Roupala sororopana,3,0.32,0.37,0,1,0,0,0,0,0,wet (1)
Roupala suaveolens,20,-0.03,0.46,0,2,3,0,0,0,0,wet (2) | moist (3)
Roupala thomesiana,3,-0.47,-0.22,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Rourea adenophora,36,0.13,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rourea amazonica,93,-0.06,0.52,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rourea antioquensis,4,0.23,0.39,0,1,0,0,0,0,0,wet (1)
Rourea bahiensis,10,-0.4,0.28,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rourea blanchetiana,1,-0.18,-0.18,0,0,1,0,0,0,0,moist (1)
Rourea coccinea,1178,-0.51,0.12,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rourea discolor,13,-0.03,0.4,0,2,3,0,0,0,0,wet (2) | moist (3)
Rourea fluminensis,18,-0.4,0.32,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rourea induta,424,-0.38,0.11,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rourea martiana,15,-0.6,-0.3,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Rourea orientalis,218,-0.59,0.14,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Rourea psammophila,14,-0.24,0.06,0,2,3,0,0,0,0,wet (2) | moist (3)
Rourea pseudogardneriana,4,-0.28,0.46,0,2,3,0,0,0,0,wet (2) | moist (3)
Rourea puberula,57,-0.16,0.43,0,2,3,0,0,0,0,wet (2) | moist (3)
Rourea surinamensis,56,-0.23,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rourea thomsonii,301,-0.37,0.46,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rousseauxia chrysophylla,9,-0.33,-0.04,0,0,1,0,0,0,0,moist (1)
Rousseauxia tamatavensis,5,0.03,0.48,0,1,0,0,0,0,0,wet (1)
Roystonea altissima,2,0.05,0.29,0,1,0,0,0,0,0,wet (1)
Roystonea borinquena,46,-0.35,0.33,0,2,3,0,0,0,0,wet (2) | moist (3)
Roystonea dunlapiana,15,-0.37,0.46,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Roystonea oleracea,28,-0.33,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Roystonea princeps,1,-0.14,-0.14,0,0,1,0,0,0,0,moist (1)
Roystonea regia,219,-0.52,0.38,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Roystonea violacea,1,0.54,0.54,1,0,0,0,0,0,0,very wet (1)
Ruagea glabra,358,-0.43,0.62,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Ruagea hirsuta,73,-0.38,0.49,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Ruagea insignis,46,-0.2,0.59,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Ruagea membranacea,5,0.44,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Ruagea microphylla,10,-0.22,-0.03,0,0,1,0,0,0,0,moist (1)
Ruagea ovalis,18,-0.49,-0.04,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Ruagea pubescens,104,-0.33,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Ruagea smithii,3,-0.48,0.26,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Ruagea subviridiflora,1,0.17,0.17,0,1,0,0,0,0,0,wet (1)
Ruagea tomentosa,26,-0.2,0.42,0,2,3,0,0,0,0,wet (2) | moist (3)
Rubovietnamia sericantha,3,0.15,0.25,0,1,0,0,0,0,0,wet (1)
Rudgea amplexicaulis,11,0.42,0.58,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea apodantha,3,-0.59,-0.28,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Rudgea ayangannensis,2,0.32,0.33,0,1,0,0,0,0,0,wet (1)
Rudgea bacciflora,2,0.45,0.47,0,1,0,0,0,0,0,wet (1)
Rudgea bremekampiana,27,0.19,0.53,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea buntingii,4,-0.4,-0.2,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Rudgea burchelliana,4,-0.09,0.12,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea cardonae,4,0.34,0.37,0,1,0,0,0,0,0,wet (1)
Rudgea ciliata,66,-0.39,0.29,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rudgea citrifolia,16,-0.31,0.35,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea colombiana,45,0.29,0.78,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea coriacea,62,-0.27,0.52,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rudgea cornifolia,644,-0.06,0.57,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rudgea coronata,72,-0.38,0.42,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rudgea crassifolia,31,-0.49,0.48,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rudgea crassiloba,122,-0.4,0.44,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rudgea duckei,1,0.44,0.44,0,1,0,0,0,0,0,wet (1)
Rudgea erioloba,110,-0.46,0.09,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rudgea erythrocarpa,9,-0.29,0.3,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea foveolata,25,-0.34,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea gardenioides,39,-0.15,0.46,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea goyazensis,18,-0.16,0.19,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea graciliflora,67,0.14,0.54,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea grandifructa,16,0.57,0.79,1,0,0,0,0,0,0,very wet (1)
Rudgea guyanensis,50,0.13,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea hemisphaerica,12,0.41,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea hostmanniana,137,-0.3,0.49,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea insignis,4,0.02,0.46,0,1,0,0,0,0,0,wet (1)
Rudgea interrupta,44,-0.42,0.42,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rudgea isthmensis,4,0.34,0.46,0,1,0,0,0,0,0,wet (1)
Rudgea jasminoides,530,-0.19,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea laevis,17,-0.14,0.61,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Rudgea lanceifolia,76,0.18,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea longiflora,51,-0.18,0.37,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea loretensis,106,0.19,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea macrophylla,22,-0.24,0.26,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea magna,1,0.78,0.78,1,0,0,0,0,0,0,very wet (1)
Rudgea mandevilliifolia,2,0.62,0.66,1,0,0,0,0,0,0,very wet (1)
Rudgea mcphersonii,7,0.5,0.58,1,0,0,0,0,0,0,very wet (1)
Rudgea minor,25,-0.28,0.23,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea monofructus,40,0.55,0.62,1,0,0,0,0,0,0,very wet (1)
Rudgea mouririoides,1,0.22,0.22,0,1,0,0,0,0,0,wet (1)
Rudgea nebulicola,4,0.02,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea nobilis,11,0.02,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea nodosa,33,-0.28,0.34,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea obesiflora,49,0.17,0.64,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea pachyphylla,4,0.26,0.43,0,1,0,0,0,0,0,wet (1)
Rudgea palicoureoides,49,-0.28,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea panamensis,4,0.51,0.63,1,0,0,0,0,0,0,very wet (1)
Rudgea panurensis,154,0.22,0.57,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea phaneroneura,4,0.26,0.38,0,1,0,0,0,0,0,wet (1)
Rudgea pittieri,46,0.41,0.58,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea poeppigii,110,-0.47,0.56,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Rudgea raveniana,60,0.4,0.53,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea recurva,98,-0.14,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea reducticalyx,83,0.47,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea reticulata,18,-0.25,0.28,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea sanarensis,6,-0.49,0.06,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Rudgea sanblasensis,2,0.54,0.55,1,0,0,0,0,0,0,very wet (1)
Rudgea sclerocalyx,81,0.23,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea sessilis,65,-0.26,0.29,0,2,3,0,0,0,0,wet (2) | moist (3)
Rudgea skutchii,130,0.08,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Rudgea sprucei,7,-0.18,0.63,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
