species,n,Q05,Q95,A,C,D,E,F,A18,Tmo10
Areca novohibernica,16,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Areca oxycarpa,5,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Areca triandra,59,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Areca tunku,1,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Areca vestiaria,16,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Arenga australasica,17,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Arenga brevipes,8,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Arenga engleri,258,9.29,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Arenga hookeriana,8,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Arenga listeri,1,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Arenga micrantha,1,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Arenga microcarpa,56,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Arenga obtusifolia,4,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Arenga pinnata,51,9.07,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Arenga tremula,9,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Arenga westerhoutii,26,11.06,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Arenga wightii,6,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Arfeuillea arborescens,6,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Argemone grandiflora,103,11.05,12.0,2,3,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (3)
Argocoffeopsis eketensis,52,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Argomuellera bilocularis,4,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Argomuellera gillespieae,3,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Argomuellera integra,11,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Argomuellera lancifolia,3,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Argomuellera macrophylla,180,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Argomuellera oblanceolata,21,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Argomuellera perrieri,12,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Argomuellera pierlotiana,5,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Argomuellera pumila,7,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Argomuellera sessilifolia,9,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Argomuellera stenophylla,6,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Argyreia thorelii,4,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Argyrocytisus battandieri,28,5.11,7.84,0,0,1,0,0,0,subtropical (1)
Aria baldaccii,1,5.0,5.0,0,0,1,0,0,0,subtropical (1)
Aria cambrensis,6,4.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria cheddarensis,3,6.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria collina,17,5.0,5.0,0,0,1,0,0,0,subtropical (1)
Aria danubialis,98,5.0,5.0,0,0,1,0,0,0,subtropical (1)
Aria eminens,17,5.04,6.0,0,0,1,0,0,0,subtropical (1)
Aria eminentiformis,3,6.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria eminentoides,2,6.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria hibernica,7,6.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria lancastriensis,10,4.0,5.0,0,0,1,0,0,0,subtropical (1)
Aria leighensis,2,6.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria margaretae,4,4.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria pannonica,30,5.0,5.0,0,0,1,0,0,0,subtropical (1)
Aria parviloba,2,6.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria porrigentiformis,89,4.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria rupicoloides,2,6.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria saxicola,3,6.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria stenophylla,6,4.0,4.0,0,0,1,0,0,0,subtropical (1)
Aria stirtoniana,4,4.0,5.0,0,0,1,0,0,0,subtropical (1)
Aria thaiszii,4,5.0,5.0,0,0,1,0,0,0,subtropical (1)
Aria vexans,2,6.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria whiteana,4,6.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria wilmottiana,8,6.0,6.0,0,0,1,0,0,0,subtropical (1)
Aria ×leptophylla,16,4.0,6.0,0,0,1,0,0,0,subtropical (1)
Arillastrum gummiferum,25,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Aripuana cullmaniorum,2,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Aristeguietia arborea,5,0.0,12.0,2,9,9,9,3,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (9) | temperate (9) | boreal (3)
Aristeguietia discolor,21,0.0,12.0,2,9,9,9,3,0,tropical (minimum temperature of coldest month ≥18°C) (2) | tropical (minimum temperature of coldest month <18°C) (9) | subtropical (9) | temperate (9) | boreal (3)
Aristogeitonia gabonica,3,12.0,12.0,1,0,0,0,0,1,tropical (minimum temperature of coldest month ≥18°C) (1) | polar (1)
Aristogeitonia lophirifolia,7,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
Aristogeitonia monophylla,24,12.0,12.0,1,0,0,0,0,0,tropical (minimum temperature of coldest month ≥18°C) (1)
