species|n|Q05|Q95|A|B|C|D|E|F|G
Acacia decurrens|2372|-0.5|0.14|0|2|9|3|0|0|0
Acacia delibrata|50|-0.61|-0.24|0|0|2|9|3|0|0
Acacia demissa|47|-0.89|-0.85|0|0|0|0|0|1|0
Acacia dempsteri|37|-0.82|-0.74|0|0|0|0|2|3|0
Acacia dentifera|66|-0.72|-0.06|0|0|2|9|3|0|0
Acacia desertorum|38|-0.87|-0.77|0|0|0|0|2|3|0
Acacia desmondii|26|-0.89|-0.81|0|0|0|0|0|1|0
Acacia didyma|21|-0.84|-0.8|0|0|0|0|2|3|0
Acacia dietrichiana|114|-0.7|-0.1|0|0|2|9|3|0|0
Acacia difficilis|1173|-0.64|0.03|0|2|9|9|3|0|0
Acacia difformis|242|-0.69|-0.4|0|0|0|2|3|0|0
Acacia dimidiata|730|-0.59|0.05|0|2|9|9|3|0|0
Acacia distans|48|-0.89|-0.78|0|0|0|0|2|3|0
Acacia dodonaeifolia|223|-0.69|-0.32|0|0|2|9|3|0|0
Acacia dolichophylla|15|-0.81|-0.77|0|0|0|0|2|3|0
Acacia donaldsonii|29|-0.9|-0.79|0|0|0|0|2|3|0
Acacia doratoxylon|1560|-0.72|-0.36|0|0|0|2|3|0|0
Acacia drepanophylla|16|-0.87|-0.83|0|0|0|0|0|1|0
Acacia dunnii|148|-0.63|-0.28|0|0|2|9|3|0|0
Acacia duriuscula|60|-0.85|-0.77|0|0|0|0|2|3|0
Acacia echinuliflora|44|-0.47|-0.16|0|0|2|3|0|0|0
Acacia effusifolia|229|-0.86|-0.79|0|0|0|0|2|3|0
Acacia elachantha|539|-0.85|-0.63|0|0|0|0|2|3|0
Acacia elata|900|-0.34|0.29|0|2|3|0|0|0|0
Acacia elongata|1092|-0.41|0.22|0|2|9|3|0|0|0
Acacia enervia|141|-0.82|-0.75|0|0|0|0|2|3|0
Acacia ensifolia|92|-0.85|-0.72|0|0|0|0|2|3|0
Acacia ephedroides|51|-0.79|-0.11|0|0|2|9|3|0|0
Acacia eremaea|86|-0.88|-0.77|0|0|0|0|2|3|0
Acacia estrophiolata|576|-0.88|-0.79|0|0|0|0|2|3|0
Acacia excelsa|741|-0.81|-0.55|0|0|0|0|2|3|0
Acacia exigua|30|-0.82|-0.79|0|0|0|0|2|3|0
Acacia falcata|2374|-0.5|0.16|0|2|9|3|0|0|0
Acacia falciformis|3730|-0.41|0.1|0|2|9|3|0|0|0
Acacia fasciculifera|126|-0.61|-0.15|0|0|2|9|3|0|0
Acacia fauntleroyi|34|-0.82|-0.75|0|0|0|0|2|3|0
Acacia filicifolia|1257|-0.49|0.1|0|2|9|3|0|0|0
Acacia filifolia|26|-0.81|-0.7|0|0|0|0|2|3|0
Acacia fimbriata|1497|-0.48|0.22|0|2|9|3|0|0|0
Acacia flavescens|403|-0.59|0.44|0|2|9|9|3|0|0
Acacia fleckeri|43|-0.09|0.22|0|2|3|0|0|0|0
Acacia flocktoniae|31|-0.29|0.22|0|2|3|0|0|0|0
Acacia floribunda|2632|-0.37|0.23|0|2|9|3|0|0|0
Acacia floydii|39|-0.27|0.05|0|2|3|0|0|0|0
Acacia frigescens|492|-0.15|0.5|2|9|3|0|0|0|0
Acacia fulva|57|-0.34|-0.16|0|0|1|0|0|0|0
Acacia fuscaneura|111|-0.89|-0.83|0|0|0|0|0|1|0
Acacia galeata|31|-0.89|-0.81|0|0|0|0|0|1|0
Acacia georgensis|44|-0.27|-0.13|0|0|1|0|0|0|0
Acacia georginae|451|-0.93|-0.8|0|0|0|0|2|3|0
Acacia gibbosa|55|-0.82|-0.77|0|0|0|0|2|3|0
Acacia gillii|235|-0.76|-0.51|0|0|0|0|1|0|0
Acacia glaucocaesia|18|-0.85|-0.78|0|0|0|0|2|3|0
Acacia glaucocarpa|221|-0.62|-0.35|0|0|2|9|3|0|0
Acacia gnidium|48|-0.69|-0.51|0|0|0|0|1|0|0
Acacia gonocarpa|546|-0.62|-0.06|0|0|2|9|3|0|0
Acacia gonoclada|363|-0.76|-0.49|0|0|0|2|3|0|0
Acacia grandifolia|55|-0.58|-0.48|0|0|0|2|3|0|0
Acacia grasbyi|161|-0.88|-0.81|0|0|0|0|0|1|0
Acacia hakeoides|2574|-0.8|-0.51|0|0|0|0|1|0|0
Acacia hamersleyensis|96|-0.85|-0.74|0|0|0|0|2|3|0
Acacia hammondii|544|-0.7|-0.36|0|0|0|2|3|0|0
Acacia harpophylla|756|-0.77|-0.42|0|0|0|2|3|0|0
Acacia havilandiorum|401|-0.82|-0.55|0|0|0|0|2|3|0
Acacia hemignosta|612|-0.81|-0.19|0|0|2|9|9|3|0
Acacia hemsleyi|200|-0.8|-0.34|0|0|2|9|3|0|0
Acacia heteroclita|67|-0.77|-0.34|0|0|2|9|3|0|0
Acacia heterophylla|60|0.32|0.46|0|1|0|0|0|0|0
Acacia holosericea|1493|-0.76|-0.02|0|0|2|9|3|0|0
Acacia holotricha|30|-0.61|-0.43|0|0|0|2|3|0|0
Acacia homaloclada|15|-0.02|0.72|2|9|3|0|0|0|0
Acacia howittii|203|-0.39|0.17|0|2|9|3|0|0|0
Acacia hylonoma|20|-0.22|0.47|0|2|3|0|0|0|0
Acacia implexa|7189|-0.54|0.14|0|2|9|9|3|0|0
Acacia inaequilatera|224|-0.87|-0.74|0|0|0|0|2|3|0
Acacia inceana|73|-0.84|-0.78|0|0|0|0|2|3|0
Acacia incurvaneura|290|-0.89|-0.79|0|0|0|0|2|3|0
Acacia ingramii|111|-0.36|0.02|0|2|9|3|0|0|0
Acacia intorta|17|-0.87|-0.85|0|0|0|0|0|1|0
Acacia irrorata|3171|-0.32|0.26|0|2|3|0|0|0|0
Acacia islana|23|-0.59|-0.53|0|0|0|0|1|0|0
Acacia ixodes|120|-0.74|-0.44|0|0|0|2|3|0|0
Acacia jamesiana|57|-0.87|-0.81|0|0|0|0|0|1|0
Acacia jasperensis|63|-0.6|-0.14|0|0|2|9|3|0|0
