species|n|Q05|Q95|A|B|C|D|E|F|G
Tabernaemontana pauciflora|71|0.22|0.63|2|3|0|0|0|0|0
Tabernaemontana pauli|51|0.4|0.55|2|3|0|0|0|0|0
Tabernaemontana peduncularis|23|-0.17|0.56|2|9|3|0|0|0|0
Tabernaemontana penduliflora|59|-0.06|0.49|0|2|3|0|0|0|0
Tabernaemontana persicariifolia|53|0.11|0.4|0|1|0|0|0|0|0
Tabernaemontana phymata|61|-0.22|0.57|2|9|3|0|0|0|0
Tabernaemontana remota|4|0.25|0.62|2|3|0|0|0|0|0
Tabernaemontana retusa|82|-0.21|0.56|2|9|3|0|0|0|0
Tabernaemontana robinsonii|189|0.2|0.64|2|3|0|0|0|0|0
Tabernaemontana rupicola|95|0.13|0.41|0|1|0|0|0|0|0
Tabernaemontana salomonensis|2|0.61|0.66|1|0|0|0|0|0|0
Tabernaemontana salzmannii|126|-0.35|0.41|0|2|3|0|0|0|0
Tabernaemontana sambiranensis|11|0.04|0.28|0|1|0|0|0|0|0
Tabernaemontana sananho|560|0|0.63|2|3|0|0|0|0|0
Tabernaemontana sessilifolia|37|-0.29|0.24|0|2|3|0|0|0|0
Tabernaemontana siphilitica|391|-0.28|0.5|2|9|3|0|0|0|0
Tabernaemontana solanifolia|56|-0.56|0.06|0|2|9|9|3|0|0
Tabernaemontana sphaerocarpa|28|0.01|0.58|2|3|0|0|0|0|0
Tabernaemontana stapfiana|71|-0.3|0.29|0|2|3|0|0|0|0
Tabernaemontana stellata|14|-0.69|-0.56|0|0|0|0|1|0|0
Tabernaemontana stenosiphon|18|0.39|0.71|2|3|0|0|0|0|0
Tabernaemontana tomentosa|278|-0.62|-0.23|0|0|2|9|3|0|0
Tabernaemontana undulata|496|0.09|0.55|2|3|0|0|0|0|0
Tabernaemontana vanheurckii|80|-0.38|0.47|0|2|9|3|0|0|0
Tabernaemontana ventricosa|111|-0.53|0.54|2|9|9|9|3|0|0
Tabernaemontana wullschlaegelii|4|0.23|0.48|0|1|0|0|0|0|0
Tabernanthe iboga|119|-0.12|0.5|2|9|3|0|0|0|0
Tacarcuna amanoifolia|12|0.19|0.49|0|1|0|0|0|0|0
Tacarcuna gentryi|5|0.14|0.47|0|1|0|0|0|0|0
Tacarcuna tachirensis|2|0.06|0.3|0|1|0|0|0|0|0
Tachia grandiflora|28|0.16|0.54|2|3|0|0|0|0|0
Tachia grandifolia|32|0.25|0.5|2|3|0|0|0|0|0
Tachia occidentalis|145|0.23|0.51|2|3|0|0|0|0|0
Tachia parviflora|105|-0.14|0.59|2|9|3|0|0|0|0
Tachia siwertii|1|0.19|0.19|0|1|0|0|0|0|0
Tachia smithii|4|0.13|0.22|0|1|0|0|0|0|0
Tachigali acrensis|13|0.28|0.49|0|1|0|0|0|0|0
Tachigali albiflora|3|0.28|0.52|2|3|0|0|0|0|0
Tachigali amplifolia|24|0.21|0.48|0|1|0|0|0|0|0
Tachigali argyrophylla|1|0.56|0.56|1|0|0|0|0|0|0
Tachigali aurea|45|-0.43|0.02|0|2|9|3|0|0|0
Tachigali barnebyi|8|-0.16|0.36|0|2|3|0|0|0|0
Tachigali beaurepairei|3|0.29|0.31|0|1|0|0|0|0|0
Tachigali bicornuta|3|0.09|0.13|0|1|0|0|0|0|0
Tachigali bracteosa|32|-0.17|0.36|0|2|3|0|0|0|0
Tachigali candelabrum|3|0.14|0.31|0|1|0|0|0|0|0
Tachigali cavipes|43|0.22|0.53|2|3|0|0|0|0|0
Tachigali chrysaloides|35|-0.03|0.64|2|9|3|0|0|0|0
Tachigali chrysophylla|70|-0.03|0.63|2|9|3|0|0|0|0
Tachigali colombiana|5|0.33|0.77|2|3|0|0|0|0|0
Tachigali costaricensis|33|0.46|0.6|2|3|0|0|0|0|0
Tachigali davidsei|23|-0.33|0.25|0|2|3|0|0|0|0
Tachigali densiflora|93|-0.45|0.45|0|2|9|3|0|0|0
Tachigali denudata|39|-0.08|0.48|0|2|3|0|0|0|0
Tachigali duckei|5|0.02|0.3|0|1|0|0|0|0|0
Tachigali dwyeri|2|0.48|0.48|0|1|0|0|0|0|0
Tachigali eriopetala|4|0.32|0.39|0|1|0|0|0|0|0
Tachigali formicarum|61|0.22|0.52|2|3|0|0|0|0|0
Tachigali friburgensis|14|-0.1|0.3|0|2|3|0|0|0|0
Tachigali fusca|2|0.19|0.31|0|1|0|0|0|0|0
Tachigali glauca|57|0.05|0.47|0|1|0|0|0|0|0
Tachigali goeldiana|20|0.15|0.43|0|1|0|0|0|0|0
Tachigali guianensis|171|-0.07|0.49|0|2|3|0|0|0|0
Tachigali hypoleuca|19|0.29|0.37|0|1|0|0|0|0|0
Tachigali inconspicua|32|-0.02|0.65|2|9|3|0|0|0|0
Tachigali leiocalyx|3|0.4|0.42|0|1|0|0|0|0|0
Tachigali longiflora|4|0.14|0.4|0|1|0|0|0|0|0
Tachigali macbridei|45|-0.16|0.51|2|9|3|0|0|0|0
Tachigali macropetala|9|0.26|0.52|2|3|0|0|0|0|0
Tachigali macrostachya|4|0.3|0.41|0|1|0|0|0|0|0
Tachigali melanocarpa|18|0.29|0.52|2|3|0|0|0|0|0
Tachigali melinonii|28|0.28|0.53|2|3|0|0|0|0|0
Tachigali micrantha|1|-0.48|-0.48|0|0|0|1|0|0|0
Tachigali micropetala|17|0.12|0.52|2|3|0|0|0|0|0
Tachigali odoratissima|80|0.23|0.47|0|1|0|0|0|0|0
Tachigali paniculata|311|-0.11|0.49|0|2|3|0|0|0|0
Tachigali paraensis|34|0.04|0.62|2|3|0|0|0|0|0
Tachigali paratyensis|53|-0.25|0.45|0|2|3|0|0|0|0
Tachigali peruviana|41|-0.32|0.24|0|2|3|0|0|0|0
Tachigali physophora|32|0.23|0.48|0|1|0|0|0|0|0
Tachigali pilgeriana|30|-0.23|0.38|0|2|3|0|0|0|0
Tachigali pimichinensis|2|0.48|0.48|0|1|0|0|0|0|0
Tachigali plumbea|12|0.34|0.51|2|3|0|0|0|0|0
Tachigali poeppigiana|13|0.12|0.52|2|3|0|0|0|0|0
Tachigali prancei|15|-0.26|0.25|0|2|3|0|0|0|0
Tachigali ptychophysca|14|0.35|0.47|0|1|0|0|0|0|0
Tachigali pubiflora|29|0.06|0.4|0|1|0|0|0|0|0
Tachigali richardiana|16|0.25|0.54|2|3|0|0|0|0|0
Tachigali rigida|26|0.29|0.49|0|1|0|0|0|0|0
Tachigali rubiginosa|120|-0.3|0.11|0|2|3|0|0|0|0
Tachigali rugosa|79|-0.51|0.47|0|2|9|9|3|0|0
Tachigali schultesiana|25|0.18|0.5|2|3|0|0|0|0|0
Tachigali setifera|56|-0.33|0.61|2|9|3|0|0|0|0
Tachigali subvelutina|272|-0.46|0.1|0|2|9|3|0|0|0
Tachigali tinctoria|55|-0.04|0.42|0|2|3|0|0|0|0
Tachigali urbaniana|2|0.21|0.24|0|1|0|0|0|0|0
Tachigali vaupesiana|9|0.4|0.5|2|3|0|0|0|0|0
Tachigali venusta|18|0.03|0.41|0|1|0|0|0|0|0
Tachigali versicolor|36|0.33|0.56|2|3|0|0|0|0|0
Tachigali vulgaris|312|-0.42|0.31|0|2|9|3|0|0|0
Tahina spectabilis|8|-0.1|-0.05|0|0|1|0|0|0|0
Taiwania cryptomerioides|65|-0.19|0.81|2|9|3|0|0|0|0
Takhtajania perrieri|13|0.21|0.29|0|1|0|0|0|0|0
Talbotiella bakossiensis|7|0.34|0.51|2|3|0|0|0|0|0
Talbotiella batesii|8|-0.05|0.23|0|2|3|0|0|0|0
Talbotiella breteleri|6|0.22|0.52|2|3|0|0|0|0|0
Talbotiella cheekii|8|-0.5|0.53|2|9|9|3|0|0|0
Talbotiella ebo|8|0.3|0.51|2|3|0|0|0|0|0
Talbotiella eketensis|1|0.45|0.45|0|1|0|0|0|0|0
Talbotiella gentii|30|-0.44|-0.04|0|0|2|3|0|0|0
Talbotiella korupensis|17|0.45|0.51|2|3|0|0|0|0|0
Talbotiella velutina|4|0.45|0.45|0|1|0|0|0|0|0
Talisia acutifolia|25|0.27|0.5|2|3|0|0|0|0|0
Talisia angustifolia|35|-0.15|0.08|0|2|3|0|0|0|0
Talisia bullata|9|0.21|0.73|2|3|0|0|0|0|0
Talisia carinata|59|0.25|0.53|2|3|0|0|0|0|0
Talisia caudata|4|0.27|0.36|0|1|0|0|0|0|0
Talisia cerasina|195|-0.23|0.52|2|9|3|0|0|0|0
Talisia chartacea|2|0.18|0.38|0|1|0|0|0|0|0
Talisia clathrata|42|0.08|0.5|2|3|0|0|0|0|0
Talisia coriacea|7|-0.12|0.36|0|2|3|0|0|0|0
Talisia croatii|33|0.07|0.51|2|3|0|0|0|0|0
Talisia cupularis|44|0.16|0.45|0|1|0|0|0|0|0
Talisia dasyclada|13|0.05|0.5|2|3|0|0|0|0|0
Talisia douradensis|1|0.29|0.29|0|1|0|0|0|0|0
Talisia equatoriensis|11|-0.43|0.62|2|9|9|3|0|0|0
Talisia esculenta|279|-0.59|0.16|0|2|9|9|3|0|0
Talisia eximia|10|0.4|0.51|2|3|0|0|0|0|0
Talisia firma|56|0.29|0.5|2|3|0|0|0|0|0
Talisia floresii|58|-0.49|0.01|0|2|9|3|0|0|0
Talisia furfuracea|8|0.38|0.49|0|1|0|0|0|0|0
Talisia ghilleana|6|0.34|0.39|0|1|0|0|0|0|0
Talisia granulosa|1|0.34|0.34|0|1|0|0|0|0|0
Talisia guianensis|42|0.14|0.55|2|3|0|0|0|0|0
Talisia hemidasya|32|-0.21|0.52|2|9|3|0|0|0|0
Talisia hexaphylla|94|-0.18|0.52|2|9|3|0|0|0|0
Talisia japurensis|12|0.16|0.5|2|3|0|0|0|0|0
Talisia laevigata|2|0.12|0.25|0|1|0|0|0|0|0
Talisia longifolia|46|0.16|0.49|0|1|0|0|0|0|0
Talisia macrophylla|295|-0.11|0.54|2|9|3|0|0|0|0
Talisia marleneana|24|0.15|0.4|0|1|0|0|0|0|0
Talisia megaphylla|54|0.09|0.52|2|3|0|0|0|0|0
Talisia microphylla|16|0.2|0.53|2|3|0|0|0|0|0
Talisia mollis|83|0.03|0.5|2|3|0|0|0|0|0
Talisia morii|2|0.38|0.39|0|1|0|0|0|0|0
Talisia nervosa|129|0.23|0.59|2|3|0|0|0|0|0
Talisia obovata|29|0.03|0.49|0|1|0|0|0|0|0
Talisia oedipoda|3|-0.4|-0.35|0|0|2|3|0|0|0
Talisia pachycarpa|11|0.11|0.48|0|1|0|0|0|0|0
Talisia pinnata|4|-0.05|0.36|0|2|3|0|0|0|0
Talisia praealta|16|0.28|0.52|2|3|0|0|0|0|0
Talisia princeps|18|-0.17|0.58|2|9|3|0|0|0|0
Talisia retusa|74|-0.21|0.35|0|2|3|0|0|0|0
Talisia setigera|19|-0.61|0.37|0|2|9|9|3|0|0
Talisia simaboides|11|0.29|0.54|2|3|0|0|0|0|0
Talisia squarrosa|12|0.3|0.47|0|1|0|0|0|0|0
Talisia stricta|14|-0.1|0.15|0|2|3|0|0|0|0
Talisia subalbens|15|-0.2|-0.01|0|0|1|0|0|0|0
Talisia sylvatica|56|0.17|0.49|0|1|0|0|0|0|0
Talisia velutina|1|0.01|0.01|0|1|0|0|0|0|0
Talisia veraluciana|18|0.28|0.49|0|1|0|0|0|0|0
Tamania chardonii|21|0|0.43|0|1|0|0|0|0|0
Tamarindus indica|3039|-0.75|0.29|0|2|9|9|3|0|0
Tamarix africana|1507|-0.73|0.37|0|2|9|9|3|0|0
Tamarix amplexicaulis|11|-0.99|-0.87|0|0|0|0|0|2|3
Tamarix androssowii|9|-0.97|-0.71|0|0|0|0|2|9|3
Tamarix aphylla|1147|-0.96|-0.59|0|0|0|0|2|9|3
Tamarix aralensis|3|-0.96|-0.76|0|0|0|0|2|9|3
Tamarix aravensis|1|-0.99|-0.99|0|0|0|0|0|0|1
Tamarix arceuthoides|26|-0.98|-0.79|0|0|0|0|2|9|3
Tamarix aucheriana|18|-0.95|-0.93|0|0|0|0|0|1|0
Tamarix austromongolica|13|-0.94|-0.36|0|0|0|2|9|3|0
Tamarix boveana|122|-0.82|-0.64|0|0|0|0|2|3|0
Tamarix canariensis|1468|-0.78|-0.5|0|0|0|2|3|0|0
Tamarix chinensis|707|-0.93|-0.3|0|0|2|9|9|3|0
Tamarix dalmatica|31|-0.77|0.24|0|2|9|9|3|0|0
Tamarix dioica|11|-0.95|0.18|0|2|9|9|9|3|0
Tamarix dubia|1|-0.91|-0.91|0|0|0|0|0|1|0
Tamarix elongata|12|-0.98|-0.76|0|0|0|0|2|9|3
Tamarix florida|4|-0.92|0.06|0|2|9|9|9|3|0
Tamarix gallica|2082|-0.76|0.3|0|2|9|9|3|0|0
Tamarix hampeana|46|-0.63|-0.07|0|0|2|9|3|0|0
Tamarix hispida|17|-0.98|-0.78|0|0|0|0|2|9|3
Tamarix indica|4|-0.93|-0.49|0|0|0|2|9|3|0
Tamarix jordanis|70|-0.86|-0.54|0|0|0|0|2|3|0
Tamarix karelinii|9|-0.98|-0.77|0|0|0|0|2|9|3
Tamarix leptostachya|14|-0.98|-0.84|0|0|0|0|0|2|3
Tamarix mascatensis|18|-0.96|-0.43|0|0|0|2|9|9|3
Tamarix minoa|3|-0.47|-0.43|0|0|0|1|0|0|0
Tamarix palaestina|16|-0.93|-0.62|0|0|0|0|2|3|0
Tamarix parviflora|465|-0.9|0.05|0|2|9|9|9|3|0
Tamarix passerinoides|30|-0.97|-0.86|0|0|0|0|0|2|3
Tamarix ramosissima|3446|-0.95|-0.39|0|0|0|2|9|3|0
Tamarix senegalensis|81|-0.91|-0.84|0|0|0|0|0|1|0
Tamarix smyrnensis|27|-0.88|-0.29|0|0|2|9|9|3|0
Tamarix stricta|2|-0.93|-0.85|0|0|0|0|0|1|0
Tamarix taklamakanensis|2|-0.97|-0.96|0|0|0|0|0|0|1
Tamarix tetragyna|60|-0.92|-0.51|0|0|0|0|2|3|0
Tamarix tetrandra|54|-0.74|0.3|0|2|9|9|3|0|0
Tamarix usneoides|85|-0.99|-0.6|0|0|0|0|2|9|3
Tambourissa alaticarpa|4|0.15|0.27|0|1|0|0|0|0|0
Tambourissa beanjadensis|5|0.15|0.43|0|1|0|0|0|0|0
Tambourissa bosseri|8|0.03|0.55|2|3|0|0|0|0|0
Tambourissa capuronii|15|-0.2|0.32|0|2|3|0|0|0|0
Tambourissa castri-delphini|26|-0.29|0.5|2|9|3|0|0|0|0
Tambourissa crassa|6|0.4|0.48|0|1|0|0|0|0|0
Tambourissa decaryana|3|0.35|0.58|2|3|0|0|0|0|0
Tambourissa dorrii|2|0.01|0.03|0|1|0|0|0|0|0
Tambourissa floricostata|1|0.21|0.21|0|1|0|0|0|0|0
Tambourissa gracilis|3|-0.21|-0.06|0|0|1|0|0|0|0
Tambourissa hildebrandtii|41|-0.29|0.31|0|2|3|0|0|0|0
Tambourissa humbertii|5|-0.17|0.37|0|2|3|0|0|0|0
Tambourissa lastelliana|3|0.23|0.53|2|3|0|0|0|0|0
Tambourissa longicarpa|9|0.09|0.59|2|3|0|0|0|0|0
Tambourissa madagascariensis|18|-0.26|0.41|0|2|3|0|0|0|0
Tambourissa mandrarensis|5|0.09|0.22|0|1|0|0|0|0|0
Tambourissa manongarivensis|13|-0.22|0.28|0|2|3|0|0|0|0
Tambourissa masoalensis|8|0.47|0.59|2|3|0|0|0|0|0
Tambourissa nicolliae|22|-0.07|0.58|2|9|3|0|0|0|0
Tambourissa nitida|2|0.1|0.21|0|1|0|0|0|0|0
Tambourissa nosybensis|1|0.22|0.22|0|1|0|0|0|0|0
Tambourissa parvifolia|15|0.02|0.25|0|1|0|0|0|0|0
Tambourissa perrieri|21|-0.04|0.58|2|9|3|0|0|0|0
Tambourissa purpurea|259|-0.36|0.55|2|9|9|3|0|0|0
Tambourissa quadrifida|2|0.22|0.25|0|1|0|0|0|0|0
Tambourissa rakotozafyi|13|0.17|0.58|2|3|0|0|0|0|0
Tambourissa religiosa|49|-0.15|0.58|2|9|3|0|0|0|0
Tambourissa thouvenotii|69|-0.17|0.55|2|9|3|0|0|0|0
Tambourissa trichophylla|39|-0.07|0.51|2|9|3|0|0|0|0
Tambourissa uapacifolia|15|-0.22|0.27|0|2|3|0|0|0|0
Tamilnadia uliginosa|29|-0.61|0.56|2|9|9|9|3|0|0
Tammsia anomala|15|-0.39|0.16|0|2|9|3|0|0|0
Tanaecium tetramerum|3|-0.57|-0.5|0|0|0|2|3|0|0
Tannodia cordifolia|36|-0.54|0.06|0|2|9|9|3|0|0
Tannodia grandiflora|11|-0.24|0.03|0|2|3|0|0|0|0
Tannodia obovata|4|-0.26|0.42|0|2|3|0|0|0|0
Tannodia pennivenia|6|0.48|0.57|2|3|0|0|0|0|0
Tannodia perrieri|67|-0.11|0.58|2|9|3|0|0|0|0
Tannodia swynnertonii|8|-0.6|0.15|0|2|9|9|3|0|0
Tannodia tenuifolia|25|-0.46|-0.08|0|0|2|3|0|0|0
Tapeinosperma commutatum|5|0.43|0.63|2|3|0|0|0|0|0
Tapeinosperma cristobalense|1|0.6|0.6|1|0|0|0|0|0|0
Tapeinosperma deflexum|14|0.43|0.69|2|3|0|0|0|0|0
Tapeinosperma glandulosum|16|0.05|0.56|2|3|0|0|0|0|0
Tapeinosperma gracile|41|0.14|0.55|2|3|0|0|0|0|0
Tapeinosperma greenwoodii|1|0.55|0.55|1|0|0|0|0|0|0
Tapeinosperma lanceifolium|35|0.35|0.61|2|3|0|0|0|0|0
Tapeinosperma magnifica|4|0.44|0.49|0|1|0|0|0|0|0
Tapeinosperma megaphyllum|1|0.62|0.62|1|0|0|0|0|0|0
Tapeinosperma minutum|8|-0.04|0.64|2|9|3|0|0|0|0
Tapeinosperma multiflorum|1|0.69|0.69|1|0|0|0|0|0|0
Tapeinosperma nectandroides|12|0.02|0.48|0|1|0|0|0|0|0
Tapeinosperma nitidum|12|0.3|0.68|2|3|0|0|0|0|0
Tapeinosperma oblongifolium|18|0.29|0.55|2|3|0|0|0|0|0
Tapeinosperma pachycaulum|8|0.59|0.63|1|0|0|0|0|0|0
Tapeinosperma pancheri|34|0.25|0.58|2|3|0|0|0|0|0
Tapeinosperma poueboense|12|0.35|0.71|2|3|0|0|0|0|0
Tapeinosperma pseudojambosa|125|-0.33|0.45|0|2|3|0|0|0|0
Tapeinosperma robustum|27|0.12|0.62|2|3|0|0|0|0|0
Tapeinosperma rubidum|5|0.35|0.64|2|3|0|0|0|0|0
Tapeinosperma scrobiculatum|31|0.36|0.72|2|3|0|0|0|0|0
Tapeinosperma vestitum|13|0.38|0.66|2|3|0|0|0|0|0
Tapeinosperma vieillardii|41|0.31|0.64|2|3|0|0|0|0|0
Tapeinosperma wagapense|10|0.26|0.53|2|3|0|0|0|0|0
Tapirira bethanniana|7|0.41|0.52|2|3|0|0|0|0|0
Tapirira chimalapana|12|0.09|0.41|0|1|0|0|0|0|0
Tapirira guianensis|3206|-0.33|0.55|2|9|3|0|0|0|0
Tapirira lepidota|15|0.15|0.56|2|3|0|0|0|0|0
Tapirira mexicana|248|-0.37|0.56|2|9|9|3|0|0|0
Tapirira obtusa|323|-0.42|0.52|2|9|9|3|0|0|0
Tapirira pilosa|4|0.33|0.53|2|3|0|0|0|0|0
Tapirira retusa|60|0.15|0.56|2|3|0|0|0|0|0
Tapirira rubrinervis|21|-0.5|0.52|2|9|9|3|0|0|0
Tapiscia yunnanensis|8|0.13|0.34|0|1|0|0|0|0|0
Tapoides villamilii|1|0.39|0.39|0|1|0|0|0|0|0
Tapura acreana|50|0.14|0.51|2|3|0|0|0|0|0
Tapura africana|48|0.32|0.57|2|3|0|0|0|0|0
Tapura amazonica|312|-0.18|0.5|2|9|3|0|0|0|0
Tapura arachnoidea|7|0.1|0.14|0|1|0|0|0|0|0
Tapura bouquetiana|34|0.01|0.43|0|1|0|0|0|0|0
Tapura bullata|1|0.17|0.17|0|1|0|0|0|0|0
Tapura capitulifera|26|0.06|0.54|2|3|0|0|0|0|0
Tapura carinata|7|0.12|0.41|0|1|0|0|0|0|0
Tapura colombiana|19|0.18|0.58|2|3|0|0|0|0|0
Tapura coriacea|48|0.22|0.54|2|3|0|0|0|0|0
Tapura costata|4|0.08|0.77|2|3|0|0|0|0|0
Tapura cubensis|6|-0.02|0.61|2|9|3|0|0|0|0
Tapura ferreyrae|1|0.22|0.22|0|1|0|0|0|0|0
Tapura fischeri|89|-0.47|0.03|0|2|9|3|0|0|0
Tapura follii|2|-0.19|0.42|0|2|3|0|0|0|0
Tapura guianensis|285|0.06|0.55|2|3|0|0|0|0|0
Tapura haitiensis|3|0.25|0.33|0|1|0|0|0|0|0
Tapura ivorensis|13|0.15|0.27|0|1|0|0|0|0|0
Tapura juruana|108|0.06|0.52|2|3|0|0|0|0|0
Tapura lanceolata|14|0.26|0.37|0|1|0|0|0|0|0
Tapura latifolia|4|0.11|0.35|0|1|0|0|0|0|0
Tapura le-testui|3|-0.1|0.35|0|2|3|0|0|0|0
Tapura magnifolia|8|0.37|0.58|2|3|0|0|0|0|0
Tapura neglecta|1|0.3|0.3|0|1|0|0|0|0|0
Tapura panamensis|3|0.3|0.46|0|1|0|0|0|0|0
Tapura peruviana|145|0.11|0.63|2|3|0|0|0|0|0
Tapura singularis|14|-0.05|0.51|2|9|3|0|0|0|0
Tapura tchoutoi|4|0.38|0.42|0|1|0|0|0|0|0
Tapura tessmannii|3|0.05|0.43|0|1|0|0|0|0|0
Tapura wurdackiana|6|-0.19|0.49|0|2|3|0|0|0|0
Tara cacalaco|220|-0.71|-0.28|0|0|2|9|3|0|0
Tara spinosa|163|-0.89|0.22|0|2|9|9|9|3|0
Tara vesicaria|254|-0.62|0.01|0|2|9|9|3|0|0
Taralea cordata|76|0.16|0.48|0|1|0|0|0|0|0
Taralea crassifolia|45|0.18|0.41|0|1|0|0|0|0|0
Taralea oppositifolia|241|0.14|0.52|2|3|0|0|0|0|0
Taralea reticulata|7|0.27|0.48|0|1|0|0|0|0|0
Tarchonanthus camphoratus|305|-0.88|-0.32|0|0|2|9|9|3|0
Tarchonanthus littoralis|269|-0.65|-0.29|0|0|2|9|3|0|0
Tarchonanthus parvicapitulatus|39|-0.69|-0.18|0|0|2|9|3|0|0
Tarchonanthus trilobus|70|-0.64|-0.04|0|0|2|9|3|0|0
Tarenna adangensis|3|0.21|0.38|0|1|0|0|0|0|0
Tarenna arborescens|7|0.53|0.59|1|0|0|0|0|0|0
Tarenna asiatica|28|-0.44|0.69|2|9|9|3|0|0|0
Tarenna attenuata|33|-0.13|0.44|0|2|3|0|0|0|0
Tarenna capuroniana|49|-0.17|0.35|0|2|3|0|0|0|0
Tarenna ciliolata|1|-0.36|-0.36|0|0|0|1|0|0|0
Tarenna cinerea|1|-0.04|-0.04|0|0|1|0|0|0|0
Tarenna citrina|1|0.27|0.27|0|1|0|0|0|0|0
Tarenna conferta|70|-0.09|0.55|2|9|3|0|0|0|0
Tarenna confusa|2|0.49|0.52|2|3|0|0|0|0|0
Tarenna costata|6|0.52|0.61|1|0|0|0|0|0|0
Tarenna cumingiana|32|0.25|0.61|2|3|0|0|0|0|0
Tarenna dallachiana|271|-0.32|0.47|0|2|3|0|0|0|0
Tarenna depauperata|21|-0.16|0.35|0|2|3|0|0|0|0
Tarenna disperma|5|-0.38|-0.2|0|0|2|3|0|0|0
Tarenna drummondii|39|-0.43|-0.13|0|0|2|3|0|0|0
Tarenna fragrans|36|0.21|0.61|2|3|0|0|0|0|0
Tarenna funebris|16|-0.22|0.28|0|2|3|0|0|0|0
Tarenna gibbsiae|7|0.37|0.55|2|3|0|0|0|0|0
Tarenna gracilipes|106|0.49|0.69|2|3|0|0|0|0|0
Tarenna gracilis|21|-0.31|0.63|2|9|3|0|0|0|0
Tarenna grandiflora|85|-0.21|0.55|2|9|3|0|0|0|0
Tarenna hoaensis|4|-0.35|0.12|0|2|3|0|0|0|0
Tarenna hutchinsonii|6|-0.1|0.31|0|2|3|0|0|0|0
Tarenna inops|14|-0.08|0.35|0|2|3|0|0|0|0
Tarenna jolinonii|46|0.13|0.39|0|1|0|0|0|0|0
Tarenna kivuensis|4|0.32|0.46|0|1|0|0|0|0|0
Tarenna lancilimba|11|-0.02|0.36|0|2|3|0|0|0|0
Tarenna lasiorhachis|85|-0.14|0.53|2|9|3|0|0|0|0
Tarenna longipedicellata|9|-0.44|-0.25|0|0|2|3|0|0|0
Tarenna luhomeroensis|3|0.04|0.13|0|1|0|0|0|0|0
Tarenna luteola|21|-0.72|-0.5|0|0|0|2|3|0|0
Tarenna macroptera|3|0.24|0.56|2|3|0|0|0|0|0
Tarenna mollis|9|0.32|0.55|2|3|0|0|0|0|0
Tarenna mollissima|95|0.17|0.36|0|1|0|0|0|0|0
Tarenna monticola|54|-0.09|0.65|2|9|3|0|0|0|0
Tarenna nilotica|8|-0.07|0.2|0|2|3|0|0|0|0
Tarenna nitidula|73|-0.21|0.36|0|2|3|0|0|0|0
Tarenna nitiduloides|3|0.69|0.7|1|0|0|0|0|0|0
Tarenna pallidula|242|-0.14|0.49|0|2|3|0|0|0|0
Tarenna pavettoides|280|-0.42|0.25|0|2|9|3|0|0|0
Tarenna pentamera|94|-0.36|0.1|0|2|9|3|0|0|0
Tarenna petitii|21|-0.06|0.32|0|2|3|0|0|0|0
Tarenna polysperma|2|0.22|0.33|0|1|0|0|0|0|0
Tarenna precidantenna|64|0.08|0.45|0|1|0|0|0|0|0
Tarenna principensis|1|0.5|0.5|1|0|0|0|0|0|0
Tarenna pubinervis|2|0.01|0.18|0|1|0|0|0|0|0
Tarenna pulchra|5|-0.27|0.29|0|2|3|0|0|0|0
Tarenna quadrangularis|6|0.05|0.2|0|1|0|0|0|0|0
Tarenna quocensis|1|-0.26|-0.26|0|0|1|0|0|0|0
Tarenna rwandensis|7|0.04|0.46|0|1|0|0|0|0|0
Tarenna sakae|1|0.21|0.21|0|1|0|0|0|0|0
Tarenna sambucina|60|0.28|0.62|2|3|0|0|0|0|0
Tarenna spiranthera|100|-0.23|0.34|0|2|3|0|0|0|0
Tarenna stellulata|5|0.06|0.21|0|1|0|0|0|0|0
Tarenna sumatrensis|4|0.44|0.62|2|3|0|0|0|0|0
Tarenna thomasii|27|-0.44|0.34|0|2|9|3|0|0|0
Tarenna thouarsiana|150|-0.24|0.51|2|9|3|0|0|0|0
Tarenna tsangii|1|0.1|0.1|0|1|0|0|0|0|0
Tarenna vignei|135|-0.2|0.49|0|2|3|0|0|0|0
Tarenna winkleri|12|0.39|0.64|2|3|0|0|0|0|0
Tarennoidea wallichii|63|-0.34|0.55|2|9|3|0|0|0|0
Tasmannia piperita|255|0.39|0.69|2|3|0|0|0|0|0
Taxandria juniperina|95|-0.44|0.09|0|2|9|3|0|0|0
Taxandria linearifolia|277|-0.52|0.08|0|2|9|9|3|0|0
Taxodium distichum|8338|-0.41|0.21|0|2|9|3|0|0|0
Taxus baccata|38466|-0.31|0.52|2|9|3|0|0|0|0
Taxus brevifolia|961|-0.27|0.73|2|9|3|0|0|0|0
Taxus cuspidata|551|-0.09|0.62|2|9|3|0|0|0|0
Taxus floridana|14|0.02|0.09|0|1|0|0|0|0|0
Taxus globosa|162|-0.71|0.37|0|2|9|9|3|0|0
Taxus sumatrana|38|-0.31|0.61|2|9|3|0|0|0|0
Taxus wallichiana|144|-0.28|0.73|2|9|3|0|0|0|0
Teclea carpopunctifera|3|-0.23|0.14|0|2|3|0|0|0|0
Tecoma capensis|1359|-0.73|0.36|0|2|9|9|3|0|0
Tecoma castanifolia|29|-0.8|-0.04|0|0|2|9|3|0|0
Tecoma fulva|111|-0.99|-0.24|0|0|2|9|9|9|3
Tecoma nyassae|51|-0.38|0.27|0|2|9|3|0|0|0
Tecoma stans|6626|-0.85|0.29|0|2|9|9|9|3|0
